Gene,Tissue,Common.Unique
Aaas,LSC,Common
Aacs,LSC,Common
Aak1,LSC,Common
Aamdc,LSC,Common
Aars1,LSC,Common
Aatk,LSC,Common
Abat,LSC,Common
Abca5,LSC,Common
Abca7,LSC,Common
Abcb7,LSC,Common
Abcb8,LSC,Common
Abcb9,LSC,Common
Abcc5,LSC,Common
Abcd2,LSC,Common
Abcd3,LSC,Common
Abce1,LSC,Common
Abcf1,LSC,Common
Abcf2,LSC,Common
Abcf3,LSC,Common
Abcg2,LSC,Common
Abhd10,LSC,Common
Abhd12,LSC,Common
Abhd16a,LSC,Common
Abhd6,LSC,Common
Abi1,LSC,Common
Abi2,LSC,Common
Abl2,LSC,Common
Ablim1,LSC,Common
Ablim2,LSC,Common
Ablim3,LSC,Common
Abr,LSC,Common
Abraxas2,LSC,Common
Abtb2,LSC,Common
Acaa2,LSC,Common
Acad8,LSC,Common
Acad9,LSC,Common
Acadl,LSC,Common
Acadm,LSC,Common
Acadsb,LSC,Common
Acadvl,LSC,Common
Acap2,LSC,Common
Acat1,LSC,Common
Acat2,LSC,Common
Acbd5,LSC,Common
Acbd6,LSC,Common
Acin1,LSC,Common
Acly,LSC,Common
Aco1,LSC,Common
Acot11,LSC,Common
Acot13,LSC,Common
Acot7,LSC,Common
Acot9,LSC,Common
Acp1,LSC,Common
Acrbp,LSC,Common
Acsbg1,LSC,Common
Acsf2,LSC,Common
Acsf3,LSC,Common
Acsl3,LSC,Common
Acsl4,LSC,Common
Acsl6,LSC,Common
Acss2,LSC,Common
Acta1,LSC,Common
Actn4,LSC,Common
Actr10,LSC,Common
Actr2,LSC,Common
Actr3,LSC,Common
Acyp1,LSC,Common
Acyp2,LSC,Common
Adam22,LSC,Common
Adam23,LSC,Common
Adap2,LSC,Common
Adcy9,LSC,Common
Add1,LSC,Common
Add2,LSC,Common
Adgrb3,LSC,Common
Adgrl1,LSC,Common
Adh5,LSC,Common
Adk,LSC,Common
Ado,LSC,Common
Adprh,LSC,Common
Adrbk2,LSC,Common
Adrm1,LSC,Common
Adsl,LSC,Common
Adss2,LSC,Common
Afdn,LSC,Common
Afg3l2,LSC,Common
Aftph,LSC,Common
Agap1,LSC,Common
Agap2,LSC,Common
Agap3,LSC,Common
Agfg1,LSC,Common
Agfg2,LSC,Common
Agk,LSC,Common
Agpat1,LSC,Common
Agpat3,LSC,Common
Agpat4,LSC,Common
Agpat5,LSC,Common
Agtpbp1,LSC,Common
Ahcy,LSC,Common
Ahcyl1,LSC,Common
Ahcyl2,LSC,Common
Ahsa1,LSC,Common
Ahsa2,LSC,Common
Aifm1,LSC,Common
Aifm3,LSC,Common
Aimp1,LSC,Common
Aip,LSC,Common
Ajm1,LSC,Common
Ak1,LSC,Common
Ak2,LSC,Common
Ak3,LSC,Common
Akap1,LSC,Common
Akap10,LSC,Common
Akap12,LSC,Common
Akap13,LSC,Common
Akap2,LSC,Common
Akr1a1,LSC,Common
Akr1b1,LSC,Common
Akr7a2,LSC,Common
Akt1,LSC,Common
Akt3,LSC,Common
Alb,LSC,Common
Alcam,LSC,Common
Aldh18a1,LSC,Common
Aldh1a1,LSC,Common
Aldh2,LSC,Common
Aldh3a2,LSC,Common
Aldh4a1,LSC,Common
Aldh6a1,LSC,Common
Aldh7a1,LSC,Common
Aldh9a1,LSC,Common
Aldoa,LSC,Common
Alg2,LSC,Common
Alkbh3,LSC,Common
Amer2,LSC,Common
Amn1,LSC,Common
Amot,LSC,Common
Ampd2,LSC,Common
Ampd3,LSC,Common
Amph,LSC,Common
Anapc1,LSC,Common
Angel1,LSC,Common
Ank1,LSC,Common
Ank2,LSC,Common
Ank3,LSC,Common
Ankle2,LSC,Common
Ankrd13a,LSC,Common
Ankrd13d,LSC,Common
Ankrd17,LSC,Common
Ankrd27,LSC,Common
Ankrd28,LSC,Common
Ankrd34b,LSC,Common
Ankrd40,LSC,Common
Ankrd49,LSC,Common
Ankrd52,LSC,Common
Anks1a,LSC,Common
Anks1b,LSC,Common
Ano10,LSC,Common
Ano3,LSC,Common
Ano4,LSC,Common
Ano8,LSC,Common
Anxa2,LSC,Common
Anxa5,LSC,Common
Anxa6,LSC,Common
Anxa7,LSC,Common
Aox1,LSC,Common
Ap1b1,LSC,Common
Ap1g1,LSC,Common
Ap1s2,LSC,Common
Ap2a1,LSC,Common
Ap2a2,LSC,Common
Ap2b1,LSC,Common
Ap2m1,LSC,Common
Ap2s1,LSC,Common
Ap3b2,LSC,Common
Ap3d1,LSC,Common
Ap3s1,LSC,Common
Ap3s2,LSC,Common
Ap4e1,LSC,Common
Apba1,LSC,Common
Apbb1,LSC,Common
Apc,LSC,Common
Apc2,LSC,Common
Appl2,LSC,Common
Aqp1,LSC,Common
Araf,LSC,Common
Arap1,LSC,Common
Arap2,LSC,Common
Arcn1,LSC,Common
Arf1,LSC,Common
Arf4,LSC,Common
Arf5,LSC,Common
Arf6,LSC,Common
Arfgap1,LSC,Common
Arfgap2,LSC,Common
Arfgap3,LSC,Common
Arfgef1,LSC,Common
Arfgef2,LSC,Common
Arfgef3,LSC,Common
Arfip2,LSC,Common
Arfrp1,LSC,Common
Arhgap1,LSC,Common
Arhgap12,LSC,Common
Arhgap17,LSC,Common
Arhgap21,LSC,Common
Arhgap23,LSC,Common
Arhgap27,LSC,Common
Arhgap28,LSC,Common
Arhgap35,LSC,Common
Arhgap39,LSC,Common
Arhgap44,LSC,Common
Arhgap5,LSC,Common
Arhgdia,LSC,Common
Arhgef1,LSC,Common
Arhgef10l,LSC,Common
Arhgef12,LSC,Common
Arhgef17,LSC,Common
Arhgef18,LSC,Common
Arhgef40,LSC,Common
Arhgef6,LSC,Common
Arhgef7,LSC,Common
Arl15,LSC,Common
Arl2,LSC,Common
Arl3,LSC,Common
Arl6,LSC,Common
Arl6ip5,LSC,Common
Arl8a,LSC,Common
Armc1,LSC,Common
Armc6,LSC,Common
Armcx2,LSC,Common
Armcx3,LSC,Common
Arpc1a,LSC,Common
Arpc1b,LSC,Common
Arpc2,LSC,Common
Arpc3,LSC,Common
Arpc5,LSC,Common
Arpc5l,LSC,Common
Arpin,LSC,Common
Arpp19,LSC,Common
Arrb2,LSC,Common
As3mt,LSC,Common
Asap1,LSC,Common
Asap2,LSC,Common
Asl,LSC,Common
Asns,LSC,Common
Aspscr1,LSC,Common
Asrgl1,LSC,Common
Ass1,LSC,Common
Astn1,LSC,Common
Atad1,LSC,Common
Atad3,LSC,Common
Ate1,LSC,Common
Atg16l1,LSC,Common
Atg2a,LSC,Common
