"","Gene","Tissue","Type"
"1","Ncl","DRG","DEP"
"2","Rpsa","DRG","DEP"
"3","Mtdh","DRG","DEP"
"4","Ddx5","DRG","DEP"
"5","Rbm14","DRG","DEP"
"6","Sart3","DRG","DEP"
"7","Rpl24","DRG","DEP"
"8","Rpl4","DRG","DEP"
"9","Trim28","DRG","DEP"
"10","Srrm2","DRG","DEP"
"11","Serbp1","DRG","DEP"
"12","Rpl14","DRG","DEP"
"13","Rpl19","DRG","DEP"
"14","Rpl26","DRG","DEP"
"15","Rpl29","DRG","DEP"
"16","Tceal5","DRG","DEP"
"17","Nono","DRG","DEP"
"18","Rps6","DRG","DEP"
"19","Ilf3","DRG","DEP"
"20","Ktn1","DRG","DEP"
"21","Sf3b1","DRG","DEP"
"22","Hnrnpa3","DRG","DEP"
"23","Rpl7a","DRG","DEP"
"24","Npm1","DRG","DEP"
"25","Son","DRG","DEP"
"26","Gatad2b","DRG","DEP"
"27","Hnrnpa2b1","DRG","DEP"
"28","Rpl13","DRG","DEP"
"29","Dnttip2","DRG","DEP"
"30","Rpl7","DRG","DEP"
"31","Sfpq","DRG","DEP"
"32","Sub1","DRG","DEP"
"33","Rps20","DRG","DEP"
"34","Bclaf1","DRG","DEP"
"35","Dhx9","DRG","DEP"
"36","Ccar2","DRG","DEP"
"37","Thrap3","DRG","DEP"
"38","Snrpd2","DRG","DEP"
"39","Rrbp1","DRG","DEP"
"40","Set","DRG","DEP"
"41","Nucks1","DRG","DEP"
"42","Sun1","DRG","DEP"
"43","Rplp2","DRG","DEP"
"44","Rbm25","DRG","DEP"
"45","Sugp2","DRG","DEP"
"46","Rplp0","DRG","DEP"
"47","Rpl36","DRG","DEP"
"48","Cmas","DRG","DEP"
"49","Sart1","DRG","DEP"
"50","Rps25","DRG","DEP"
"51","Rpl34","DRG","DEP"
"52","Rps8","DRG","DEP"
"53","Chd4","DRG","DEP"
"54","Cfdp1","DRG","DEP"
"55","Atrx","DRG","DEP"
"56","Fip1l1","DRG","DEP"
"57","Rbm10","DRG","DEP"
"58","Pcm1","DRG","DEP"
"59","Psme3","DRG","DEP"
"60","Rab1A","DRG","DEP"
"61","Rpl3","DRG","DEP"
"62","Cpsf7","DRG","DEP"
"63","Fam169a","DRG","DEP"
"64","Nup50","DRG","DEP"
"65","Rpl23a","DRG","DEP"
"66","Ptbp3","DRG","DEP"
"67","Ccar1","DRG","DEP"
"68","Rnf121","DRG","DEP"
"69","Sarnp","DRG","DEP"
"70","Hdgf","DRG","DEP"
"71","Syne2","DRG","DEP"
"72","Prrc2b","DRG","DEP"
"73","Atp2a2","DRG","DEP"
"74","Rps3","DRG","DEP"
"75","Gtf2f2","DRG","DEP"
"76","Ddx46","DRG","DEP"
"77","Tp53bp1","DRG","DEP"
"78","Gtf2a1","DRG","DEP"
"79","Ssb","DRG","DEP"
"80","Hnrnpc","DRG","DEP"
"81","Prkra","DRG","DEP"
"82","Las1l","DRG","DEP"
"83","Safb2","DRG","DEP"
"84","Safb","DRG","DEP"
"85","Sf3a1","DRG","DEP"
"86","Rpl22","DRG","DEP"
"87","Slc1a4","DRG","DEP"
"88","Gcc1","DRG","DEP"
"89","Gtf2i","DRG","DEP"
"90","Elavl4","DRG","DEP"
"91","Sbno1","DRG","DEP"
"92","IntS13","DRG","DEP"
"93","Cic","DRG","DEP"
