"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034703","GO:0034703","cation channel complex","9/140","44/7657",7.26598001648981e-08,2.12893214483151e-05,1.78207720404434e-05,"Cacnb3/Grik1/Grik3/Kcna2/Kcnb2/Pex5l/Scn10a/Scn11a/Snap25",9
"GO:0098793","GO:0098793","presynapse","20/140","304/7657",5.55641514490782e-07,8.14014818728996e-05,6.81391962507117e-05,"Amph/Cplx1/Dgki/Dmxl2/Gabbr1/Grik1/Grik3/Kcna2/Kctd16/Kif1a/Mctp2/Pacsin1/Pclo/Rab3c/Rph3a/Scn10a/Scn11a/Sgip1/Snap25/Sncb",20
"GO:0034702","GO:0034702","ion channel complex","9/140","61/7657",1.36561337655849e-06,0.000133374906443879,0.00011164488306601,"Cacnb3/Grik1/Grik3/Kcna2/Kcnb2/Pex5l/Scn10a/Scn11a/Snap25",9
"GO:0030424","GO:0030424","axon","21/140","365/7657",2.51820724702642e-06,0.000184458680844686,0.000154405865409778,"Amph/Cplx1/Dgki/Dscaml1/Dync1i1/Gabbr1/Grik1/Grik3/Hpca/Insrr/Kcna2/Kif1a/Kif5c/Mapk8ip3/Pacsin1/Pclo/Rab11a/Scn10a/Scn11a/Snap25/Sncb",21
"GO:0034705","GO:0034705","potassium channel complex","5/140","14/7657",3.3358153822643e-06,0.000195478781400688,0.000163630522961596,"Grik1/Grik3/Kcna2/Kcnb2/Snap25",5
"GO:0042734","GO:0042734","presynaptic membrane","9/140","79/7657",1.22645897852449e-05,0.00051336068672525,0.000429721717287527,"Dgki/Gabbr1/Grik1/Grik3/Kcna2/Kctd16/Scn10a/Scn11a/Snap25",9
"GO:0043679","GO:0043679","axon terminus","9/140","79/7657",1.22645897852449e-05,0.00051336068672525,0.000429721717287527,"Amph/Cplx1/Dgki/Grik1/Grik3/Kcna2/Pacsin1/Pclo/Sncb",9
"GO:0030133","GO:0030133","transport vesicle","14/140","206/7657",2.19573428676222e-05,0.000804187682526661,0.000673165906336311,"Amph/Dgki/Dmxl2/Dync1i1/Gabbr1/Kif1a/Mctp2/Pclo/Pigr/Rab11a/Rab3c/Rph3a/Snap25/Sytl4",14
"GO:0097060","GO:0097060","synaptic membrane","13/140","184/7657",2.91128711315082e-05,0.000947785693503545,0.000793368301010692,"Dgki/Gabbr1/Grik1/Grik3/Kcna2/Kctd16/Pacsin1/Rph3a/Scn10a/Scn11a/Slitrk1/Snap25/Trpv1",13
"GO:0044306","GO:0044306","neuron projection terminus","9/140","90/7657",3.55014644201993e-05,0.00101598133436537,0.000850453209653782,"Amph/Cplx1/Dgki/Grik1/Grik3/Kcna2/Pacsin1/Pclo/Sncb",9
