"","GeneID"
"1","Akap17b"
"2","Akr1c6"
"3","Alg6"
"4","Alkbh6"
"5","Alpk2"
"6","Amer2"
"7","Ankrd49"
"8","Ankrd9"
"9","Arap2"
"10","Atf6b"
"11","Atr"
"12","B3gntl1"
"13","Bend5"
"14","Bicdl2"
"15","Bnip5"
"16","Brwd1"
"17","Btbd18"
"18","Cacnb4"
"19","Calml3"
"20","Carmil3"
"21","Cbarp"
"22","Ccdc130"
"23","Ccdc85a"
"24","Ccdc85c"
"25","Ccnd2"
"26","Cd99l2"
"27","Cdk5rap2"
"28","Celsr3"
"29","Cep104"
"30","Cep295"
"31","Cep350"
"32","Cfap54"
"33","Chd1"
"34","Chd7"
"35","Chka"
"36","Clic3"
"37","Cnot4"
"38","Col24a1"
"39","Col26a1"
"40","Commd8"
"41","Crebrf"
"42","Csf3r"
"43","Cyp11a1"
"44","Dchs1"
"45","Dcx"
"46","Dlgap1"
"47","Dlgap3"
"48","Dmbt1"
"49","Dnaaf4"
"50","Dnajb13"
"51","Dppa4"
"52","Dpy30"
"53","Drgx"
"54","Dsel"
"55","Dsg1b"
"56","Emid1"
"57","Emp2"
"58","Ensa"
"59","Ercc6l"
"60","Evpl"
"61","Eya3"
"62","Ezhip"
"63","Fam117b"
"64","Fam131b"
"65","Fam149b1"
"66","Fam83g"
"67","Fat2"
"68","Fbxo16"
"69","Fbxo9"
"70","Fmn1"
"71","Frmd4b"
"72","Frmpd4"
"73","Frs3"
"74","Ftcd"
"75","Gabbr1"
"76","Galnt14"
"77","Gprin1"
"78","Grip1"
"79","Grm3"
"80","Gsdma"
"81","Gucy2e"
"82","Gzf1"
"83","H3c1"
"84","Hand1"
"85","Hivep2"
"86","Hpgd"
"87","Htr1d"
"88","Ido1"
"89","Igdcc3"
"90","Ilrun"
"91","Imp4"
"92","Jakmip3"
"93","Katnal2"
"94","Katnip"
"95","Kcnab3"
"96","Kcnb2"
"97","Kcnq2"
"98","Kcnq4"
"99","Kiaa1107"
"100","Kif20b"
"101","Klhl11"
"102","Kmt2d"
"103","Krt12"
"104","Krt23"
"105","Krt26"
"106","Krt28"
"107","Ksr2"
"108","Leprotl1"
"109","Lime1"
"110","Lin9"
"111","Lrmda"
"112","Lrrc49"
"113","Lrrk1"
"114","MACIR"
"115","Mab21l4"
"116","Map3k1"
"117","Mb21d2"
"118","Mctp1"
"119","Mctp2"
"120","Mlxip"
"121","Mmp12"
"122","Mpg"
"123","Mpped1"
"124","Mtrf1"
"125","Mug2"
"126","Myo5b"
"127","Naa80"
"128","Nccrp1"
"129","Nckap5l"
"130","Nexmif"
"131","Nos1"
"132","Nutm1"
"133","Nyap1"
"134","Odf2l"
"135","Palb2"
"136","Pclo"
"137","Pcolce2"
"138","Pde11a"
"139","Pde4c"
"140","Pdilt"
"141","Pgk2"
"142","Phactr1"
"143","Phactr3"
"144","Piezo2"
"145","Pik3c2g"
"146","Pik3cd"
"147","Pik3r5"
"148","Pkp3"
"149","Plk5"
"150","Ppp1r1a"
"151","Prl7c1"
"152","Prmt8"
"153","Prss2"
"154","Ptgir"
"155","R3hcc1l"
"156","Rab11a"
"157","Rab25"
"158","Ralyl"
"159","Rara"
"160","Rasgrf2"
"161","Rasgrp1"
"162","Rims1"
"163","Rnf135"
"164","Robo2"
"165","Robo3"
"166","Rpl37"
"167","Rps6kc1"
"168","Rreb1"
"169","Rwdd3"
"170","S100a14"
"171","Samd14"
"172","Sarg"
"173","Sema5b"
"174","Serpina1a"
"175","Setbp1"
"176","Sh3d21"
"177","Shd"
"178","Shld1"
"179","Shroom4"
"180","Slc22a21"
"181","Slc22a22"
"182","Slc5a1"
"183","Slc5a4a"
"184","Slc7a6os"
"185","Snrpn"
"186","Snupn"
"187","Spata2"
"188","Spata21"
"189","Sprr1a"
"190","Sprr1b"
"191","Sprr2b"
"192","St6galnac1"
"193","Stac"
"194","Strepta"
"195","Styx"
"196","Sulf1"
"197","Syt6"
"198","Tank"
"199","Tasor2"
"200","Tbc1d8"
"201","Tgoln1"
"202","Timp4"
"203","Tmem79"
"204","Tmprss13"
"205","Tnfrsf1a"
"206","Trim29"
"207","Trpc7"
"208","Tsc22d3"
"209","Ttll6"
"210","Tuba1a"
"211","TurboID"
"212","Uba1y"
"213","Ube2q2"
"214","Usp37"
"215","Usp45"
"216","Vps9d1"
"217","Wipf3"
"218","Xrra1"
"219","Zfyve16"
"220","Zg16"
"221","Znf219"
"222","Znf786"
"223","Znrf3"
