"","GeneID"
"1","Adgrg4"
"2","Agtpbp1"
"3","Amph"
"4","Ankrd13d"
"5","Arfgef3"
"6","Arhgap28"
"7","Cacnb3"
"8","Ccser2"
"9","Cdhr5"
"10","Cend1"
"11","Cfap54"
"12","Col11a1"
"13","Col24a1"
"14","Cplx1"
"15","Creb3l1"
"16","Crebrf"
"17","Csf3r"
"18","Dcaf15"
"19","Ddhd1"
"20","Dgki"
"21","Diras1"
"22","Diras2"
"23","Dmrt1"
"24","Dmxl2"
"25","Dnah12"
"26","Dock4"
"27","Drc1"
"28","Dscaml1"
"29","Dus1l"
"30","Dync1i1"
"31","Exo5"
"32","Fmn2"
"33","Fndc3c1"
"34","Gabbr1"
"35","Gdap1l1"
"36","Gdf7"
"37","Gga3"
"38","Gprin1"
"39","Grik1"
"40","Grik3"
"41","H3c1"
"42","Hes1"
"43","Hhla1"
"44","Hpca"
"45","Hpse2"
"46","Ido1"
"47","Ier5"
"48","Il13ra1"
"49","Insrr"
"50","Iqcb1"
"51","Jcad"
"52","Katnal1"
"53","Katnal2"
"54","Kbtbd3"
"55","Kcna2"
"56","Kcnb2"
"57","Kctd16"
"58","Kif1a"
"59","Kif5c"
"60","Lama1"
"61","Lrat"
"62","Lrch2"
"63","Lrrc39"
"64","Map4k1"
"65","Map7d2"
"66","Mapk8ip3"
"67","Mast1"
"68","Mctp2"
"69","Mipol1"
"70","Mks1"
"71","Mtrfr"
"72","Mup1"
"73","Myh6"
"74","Ncoa7"
"75","Nkpd1"
"76","Nrg3"
"77","Odad2"
"78","Oxtr"
"79","Pacsin1"
"80","Pcdh12"
"81","Pclo"
"82","Pde11a"
"83","Pex5l"
"84","Phlpp2"
"85","Phyhipl"
"86","Pigr"
"87","Ppef1"
"88","Ppp4r4"
"89","Prkcq"
"90","Prl7c1"
"91","Prm3"
"92","Prmt8"
"93","Prox2"
"94","Prss2"
"95","Prune2"
"96","Rab11a"
"97","Rab3c"
"98","Rad17"
"99","Rap1gap2"
"100","Reep1"
"101","Rev1"
"102","Rimkla"
"103","Rnf121"
"104","Rnf135"
"105","Rph3a"
"106","Rpl32-ps"
"107","Rpl37"
"108","Rundc3a"
"109","Sav1"
"110","Scn10a"
"111","Scn11a"
"112","Sgip1"
"113","Sh2d3c"
"114","Shc2"
"115","Slc25a29"
"116","Slc35e2a"
"117","Slc7a14"
"118","Slitrk1"
"119","Smarcd3"
"120","Snap25"
"121","Sncb"
"122","Soga3"
"123","Sprr2h"
"124","Sprr4"
"125","Srgap3"
"126","Sspo"
"127","Stbd1"
"128","Stox1"
"129","Strepta"
"130","Sugp2"
"131","Sycp2"
"132","Syngap1"
"133","Sytl4"
"134","Tcp11l1"
"135","Tdrp"
"136","Tpgs2"
"137","Trpv1"
"138","Tspyl5"
"139","Ttc16"
"140","TurboID"
"141","Upk1b"
"142","Usp45"
"143","Wipf3"
"144","Zcchc17"
"145","Zfp91"
"146","Znrf3"
