"","x"
"1","Rab3c"
"2","Sncb"
"3","TurboID"
"4","Katnal2"
"5","Mks1"
"6","Pcdh12"
"7","Amph"
"8","Ankrd13d"
"9","Arfgef3"
"10","Arhgap28"
"11","Cend1"
"12","Cplx1"
"13","Dgki"
"14","Diras2"
"15","Dmxl2"
"16","Fmn2"
"17","Gabbr1"
"18","Gga3"
"19","Gprin1"
"20","Iqcb1"
"21","Jcad"
"22","Katnal1"
"23","Kcna2"
"24","Kctd16"
"25","Kif5c"
"26","Map7d2"
"27","Mast1"
"28","Mctp2"
"29","Mup1"
"30","Ncoa7"
"31","Pacsin1"
"32","Pclo"
"33","Pex5l"
"34","Ppp4r4"
"35","Prkcq"
"36","Prmt8"
"37","Prune2"
"38","Rap1gap2"
"39","Rimkla"
"40","Rph3a"
"41","Rundc3a"
"42","Scn10a"
"43","Scn11a"
"44","Sgip1"
"45","Shc2"
"46","Snap25"
"47","Soga3"
"48","Srgap3"
"49","Stbd1"
"50","Tdrp"
"51","Trpv1"
"52","Wipf3"
