"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Map4",4.98173706697131,19.6640616388711,83.6632169894459,5.2636934169844e-78,7.85343057814073e-75,167.47161425178
"Palm",5.215788138395,16.2702719759372,71.7991056924888,6.69745795821634e-73,4.99630363682939e-70,156.086249211925
"Akap12",5.63413241740393,17.2816785209372,69.5830162215982,7.40939862976101e-72,3.68494091853447e-69,153.740829863604
"Cttn",4.47933119261203,16.7977272371742,65.863323878274,4.97174326802611e-70,1.61681968694896e-67,149.624383588521
"Igbp1",3.96001428281375,15.8522744169278,65.789303318004,5.41829653803271e-70,1.61681968694896e-67,149.540055918831
"Eps15l1",3.99091220759184,16.2239488268713,64.8842567468559,1.56277966024872e-69,3.88611208848515e-67,148.501038775769
"Eif4b",3.77828534472583,17.2706640473095,64.1231071679933,3.85128091742521e-69,8.20873018399774e-67,147.615658428282
"Add1",4.65030355249108,16.0134113231045,61.9081818904065,5.64243267181013e-68,1.05231369329259e-65,144.976860187576
"Cast",5.98385636578668,16.1858854196846,62.586613190161,1.08757542918561e-67,1.80295837816104e-65,144.3196994792
"Tagln2",5.20402967556062,19.0103150262892,60.5656770069421,3.00460016369004e-67,4.48286344422554e-65,143.330311793049
"Pdap1",5.08931836271894,16.2408875125454,60.4847862404265,3.32691800139903e-67,4.51251059826122e-65,143.229923745767
"Glo1",4.90265174047352,16.4895584868233,60.2217525217113,1.97960153994432e-66,2.27197345968994e-64,141.464000905287
"Eps15",5.18059014081779,16.1502846450492,73.7485118567838,1.64353016392188e-66,2.04345583714287e-64,141.455788821674
"Lasp1",4.500310379347,15.8106935327711,58.8995266388657,2.51757215895865e-66,2.68301261511879e-64,141.234720014636
"Zyx",5.79505995307558,14.5974701159717,60.1132575035494,9.72196451729237e-66,9.67011403986681e-64,139.831966931876
"Dmtn",5.61338168154486,16.5162741573058,69.1664276727926,2.3265551126146e-65,2.16951264251311e-63,138.913056610136
"Spag9",3.94688501967355,15.4209000585648,57.9350515484719,3.63928381911509e-65,3.19400674007042e-63,138.592677508848
"Myh9",4.24413093937822,16.9458264066626,56.6179719326462,5.08780374856835e-65,4.21722399603554e-63,138.266275581915
"Wasl",4.6152255074749,15.2998428181831,71.5119312119285,6.97811893696907e-65,5.4796597126094e-63,137.78333042931
"Sptan1",3.28785166070097,17.6673239164316,55.8009465295594,1.5356140744601e-64,1.14556809954723e-62,137.174077899845
"Dbnl",4.51997562064503,15.4617902980507,70.3075092448715,2.14028215067038e-64,1.52061950895248e-62,136.69414137802
"Skt",4.64848122788981,14.5228115882408,71.832409283805,2.83515895596277e-64,1.9227532555893e-62,136.387838165839
"Mapt",4.20261459743293,17.9734754777206,60.2384569685707,6.867001008569e-64,4.40778645170481e-62,135.666917721987
"Numbl",5.70377310588879,15.7068055567186,72.721333652712,7.09027311266189e-64,4.40778645170481e-62,135.46233088523
"Tnks1bp1",4.02107073005079,15.4041540827236,53.9699284745278,1.93275842944572e-63,1.15347023069321e-61,134.667421740719
"Gspt1",3.79897370574137,15.8707634330785,52.4720020489227,1.6316980903546e-62,9.36343673388102e-61,132.553295984628
