"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Map6",6.38084454981857,18.6156124270341,91.8490070911224,3.95111316734126e-81,2.30349897655995e-78,174.213451602024
"Eps15l1",5.41941579214803,16.2239488268713,84.008511515773,3.83311136302015e-78,1.11735196232037e-75,167.659370576874
"Mapt",6.83738197273137,17.9734754777206,93.4432153715853,1.34116484434758e-77,2.60633034751546e-75,166.082344059943
"Eif4b",4.92956873136995,17.2706640473095,79.7686768639399,2.06307770340787e-76,3.00693575271697e-74,163.831592698046
"Map1a",6.33046301105334,18.0449933957699,70.2930517601175,3.40297257891717e-72,3.96786602701741e-70,154.428254339138
"Palm",5.18718976932052,16.2702719759372,68.0824046537025,3.93630961703787e-71,3.82478084455513e-69,152.042358090953
"Map4",4.11805221406296,19.6640616388711,65.9400487967295,4.54812740137194e-70,3.78794039285692e-68,149.652110605677
"Ncam1",5.38760545765243,18.279379371535,64.7309786925357,1.87249742628346e-69,1.36458249940407e-67,148.2674603169
"Dmtn",6.65560250736209,16.5162741573058,78.1919072887098,5.56015506922385e-69,3.60174489484167e-67,146.901319665184
"Akap12",5.36261354365807,17.2816785209372,63.1475286281061,1.24240929642149e-68,7.24324619813727e-67,146.413290536398
"Igbp1",3.97089250671465,15.8522744169278,62.8999533362427,1.67707225303939e-68,8.88848294110878e-67,146.119085183229
"Pdap1",5.33401178946031,16.2408875125454,60.4427422472376,3.50805846569745e-67,1.70433173791801e-65,143.13329234368
"Add1",4.60545311166662,16.0134113231045,58.4578407270558,4.46588099087879e-66,2.00277585975564e-64,140.629963883349
"Aak1",5.72429479952168,15.9454720462849,59.4090079696421,5.50348698677838e-66,2.29180922377985e-64,140.390009873983
"Sptan1",3.59207228779573,17.6673239164316,58.1270223442223,6.87907861197862e-66,2.67366855385569e-64,140.204403423643
"Glo1",5.1371204748084,16.4895584868233,58.9594150886346,9.7451693726303e-66,3.55089609015217e-64,139.828380804741
"Tagln2",5.0820399230086,19.0103150262892,56.3934340537388,6.88203537649451e-65,2.35276441736365e-63,137.933716894751
"Cttn",4.01962640456038,16.7977272371742,56.3533602697437,7.26410969340405e-65,2.35276441736365e-63,137.880402634579
"Atp1a1",4.85535359947862,16.326316803046,55.5068176810767,2.29419988999871e-64,7.03957124141709e-63,136.745203397165
"Txn",4.21724852062957,21.5168182127974,56.3989900125172,2.73820640401132e-64,7.60178254066001e-63,136.544946254868
