"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Map6",5.52215867946831,18.6156124270341,74.0747773818859,6.10975718399552e-74,6.04254985497157e-71,158.15268350386
"Mapt",5.56103428466063,17.9734754777206,58.3413481385676,6.74292480925194e-63,3.33437631817509e-60,132.919218068003
"Akap12",4.51844458858203,17.2816785209372,49.583135871846,1.18087915455017e-60,3.89296494616707e-58,128.240140874127
"Ncam1",4.18828239465789,18.279379371535,46.8940256930823,7.88907568170036e-59,1.95057396230041e-56,124.078689250542
"Map1b",4.81106897650465,18.855154543221,36.9640352590563,3.95586456145911e-51,7.82470010256612e-49,106.429214948307
"Epb41l3",4.90367404353741,18.254897840118,34.932884998513,2.5155557123655e-49,4.14647433254913e-47,102.279163529732
"Map1a",3.32960123146301,18.0449933957699,34.4535770562577,6.91351371078072e-49,9.76780722851734e-47,101.268005354256
"Palm",2.54296266994965,16.2702719759372,31.1034029261838,1.16547626130287e-45,1.44082002803567e-43,93.8286492932404
"Cep170",5.35988954673566,16.0180223961246,38.7385185840157,1.3829516471143e-44,1.51971019888449e-42,91.4775301286329
"Sptan1",1.97057290799722,17.6673239164316,29.7160231105204,3.09614473632831e-44,3.0620871442287e-42,90.540887797001
"Map4",1.96132669648269,19.6640616388711,29.266617170336,9.20914665705006e-44,8.27986003983865e-42,89.447661522043
"Ckap5",3.16270389789805,14.1075811488514,34.2566942393654,2.97090348039714e-43,2.44851961842731e-41,88.4738426897752
"Avil",7.16356938903812,17.0311996978889,29.3406504213675,3.79078275893087e-43,2.8839108835251e-41,88.0760871945078
"Tuba4a",4.28940303196373,19.1771242042269,28.1840532345605,1.34881019217817e-42,9.52838057188719e-41,86.7546794096601
"Sorbs1",1.83479348171333,16.3012158788323,27.7856179700055,3.70103108094069e-42,2.4402131593669e-40,85.7416602945617
"Prph",4.52005654449859,18.5656555498572,27.3273617227949,1.19928979411592e-41,7.41311003987902e-40,84.5615164910139
"Dctn4",2.83657254937566,16.3074543918128,28.8272747399429,3.18106338386226e-41,1.85063040390575e-39,83.6726066394009
"Nefm",4.35628029001338,19.5454254030982,26.4157397709447,1.30527514192012e-40,7.17176175199444e-39,82.1645684000624
"Atp6v1a",2.6057704434106,15.3184768949238,26.2878713020965,7.53932138849053e-40,3.92441518590376e-38,80.4326788618719
