"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Eif4b",4.51702925081314,17.2706640473095,63.228568373925,6.70694788591701e-69,1.29578233155917e-65,146.519037381492
"Map6",4.47737788141892,18.6156124270341,55.9890412400495,7.37222544110621e-65,7.1215697761086e-62,137.518651091641
"Spag9",4.25128511379558,15.4209000585648,51.7254510233837,1.13201684443831e-61,7.2901884781827e-59,130.345294137311
"Eps15l1",3.59431020151131,16.2239488268713,48.2780350484709,5.74666896145627e-60,2.77564110838338e-57,126.511083423433
"Nefl",4.9138988342893,17.8825797527872,55.9898178757032,2.28901146894855e-59,8.84474031601718e-57,124.993173106856
"Upf1",4.39949014866077,15.9689868956269,47.170091149496,3.32643330594946e-59,1.07111152451573e-56,124.78592978557
"Tardbp",4.10823459294988,15.9065528442593,45.7408079188263,3.39446528755379e-58,9.36872419364845e-56,122.500362252173
"Pdap1",4.51667518530188,16.2408875125454,44.7385431623103,1.80217709147294e-57,4.35225767590716e-55,120.855452756051
"Clint1",4.54317491318736,15.9961228921644,54.2709184060724,3.18524278516703e-57,6.83765451215856e-55,120.149358267576
"Dmtn",4.7308258157223,16.5162741573058,48.4911111099499,3.75258517449914e-55,7.24999455713233e-53,115.536728428594
"Strn",3.84754708767752,15.9651663541871,45.0434761583047,1.36434867947394e-54,2.39629240794878e-52,114.295429633827
"Hnrnpk",4.23062436674515,16.7244510239075,40.3216870273268,4.37148158889087e-54,7.03808535811431e-52,113.153455178543
"Map1a",4.11304728043701,18.0449933957699,39.9382386620974,8.91814085855593e-54,1.32537293374847e-51,112.447167640866
"Birc6",3.72642381753892,15.2256413443832,47.2438023718592,2.80233800813673e-53,3.86722645122869e-51,111.286445343341
"Psmc3",5.670788965946,16.4111523379688,42.2748749914493,3.58026673399259e-53,4.61138355338245e-51,111.076314157232
"Scyl1",4.81317869053706,14.6255485149131,45.9582265649723,4.81011919992936e-53,5.8082189339147e-51,110.765264414231
"Stx7",5.34077277692257,15.4130758117269,57.2044405271301,7.58530032681762e-53,8.62047072435979e-51,110.104828555328
"Ncl",4.18567236755206,15.4229174087719,38.3609215494995,1.79064455708734e-52,1.92195849127375e-50,109.472856925784
"Washc2",4.06403418730073,15.2729236118161,44.8447836471677,2.42979021839465e-52,2.47071300102024e-50,109.172761238454
"Dbnl",3.53028863892923,15.4617902980507,45.328011026001,4.16198957625139e-52,4.02048193065885e-50,108.637238515288
"Mapt",3.43150882897807,17.9734754777206,40.7709135923897,4.56131106380648e-52,4.19640617870197e-50,108.560531070245
"Cttn",3.08145840752463,16.7977272371742,37.5608268585282,8.55840543072424e-52,7.51583604189056e-50,107.92000421792
"Fus",3.13944347177608,16.2304125844799,38.0341895510808,9.37118110260866e-52,7.87179212619127e-50,107.834737615085
"Rpsa",5.83140496833671,14.3125614925879,37.9981249378314,1.00462890461931e-51,8.08726268218541e-50,107.765692788793
"Aak1",4.07690320272991,15.9454720462849,37.7873986213355,1.51024904954938e-51,1.15998831908952e-49,107.361033130699
"Synj1",4.94726114932754,16.1404299011271,49.2191976899233,1.60846465014946e-51,1.15998831908952e-49,107.256330934687
"Magi1",4.11881134411397,16.0765144193144,49.2128482676641,1.62110168816859e-51,1.15998831908952e-49,107.248690169667
"Mtdh",4.58041940898853,15.0518436450333,49.9636212724046,2.57710701114659e-51,1.77820383769115e-49,106.778717617204
"Ddx5",5.73120876735659,14.7687787511916,40.2441812496857,3.41609783587859e-51,2.27582793755774e-49,106.569544454301
"Dync1li2",4.61380534240498,15.7278440918488,40.1847258568826,3.78381873445621e-51,2.4367792649898e-49,106.468343728211
"Atxn2l",5.13092377266681,15.9827887124019,43.6470663928404,4.85669609903587e-51,3.02681834301203e-49,106.21919214539
"Amph",4.62815096543067,16.3496787271319,50.5004911568093,9.30861687466614e-50,5.62007743807968e-48,103.224725377761
"Ubap2l",4.72998600638199,14.7577813158186,41.448719875387,1.38411172253238e-49,7.8650113174487e-48,102.914385293188
"Uqcrc2",8.42020378699425,15.6740933443913,52.951221529731,1.1948281470166e-49,6.99517569707902e-48,102.810585966963
"Atp1a1",3.47714098088591,16.326316803046,34.7409730748621,2.71966429396291e-49,1.50125469026753e-47,102.191604527765
"Ciapin1",5.29893168296362,15.2580075919384,41.7332154044546,2.88065535686838e-49,1.50416922958641e-47,102.190331983784
"Rbm14",3.69372050316602,15.2744659274028,48.3263565289477,2.87428392956004e-49,1.50416922958641e-47,102.14429898086
"Sec22b",4.32709444666099,15.8704987955472,34.6546822315735,3.26499085566038e-49,1.65999008766733e-47,102.009676402898
"Nudc",4.47998074203766,15.6058204099642,41.9363063272867,6.92747959389726e-49,3.43176681420757e-47,101.323489780907
"Ampd2",4.51170457903255,16.1608802704879,48.6643001029013,7.64946942694614e-49,3.69469373321499e-47,101.172569345278
"Rtn1",4.16955996665462,17.6785777480326,38.7847664472933,1.1208524156474e-48,5.28167528544092e-47,100.840399533928
"Cs",3.90487767649343,16.0458193594338,43.2535610286624,1.14995280486435e-48,5.28978290237599e-47,100.819646956427
"Arhgap1",4.65849193117075,15.5629316897005,38.5677305691111,1.62490429620111e-48,7.13480704604671e-47,100.472312491465
"Ppp3ca",5.20190590647889,16.3470193452218,33.9223433322355,1.56506133368298e-48,7.03185696901283e-47,100.448929565193
"Dnm1l",4.55052800616077,16.4332558659324,40.5581543297311,1.7785970613353e-48,7.63611004999954e-47,100.391693775447
"Ermp1",5.44710795614344,15.0615951199269,48.8643476225613,2.44131729699498e-48,1.02535326473789e-46,100.023306370908
"Dnm3",4.41870247382758,14.8203422650297,50.0646865644351,2.6144241861098e-48,1.07469521863067e-46,99.8352423949574
"Map7",5.56978808275016,15.4265444297192,39.4419241107032,3.4120669259657e-48,1.3733569377012e-46,99.744764180942
"Fermt2",2.96034565188149,15.3444422842206,33.5228278044611,3.72638919240186e-48,1.46926202443274e-46,99.5846184400786
"Eif3c",5.29102476752602,14.783247622195,36.7119738579008,5.32313004541134e-48,2.05685744954694e-46,99.2839571870461
"Sptbn1",3.22380805150584,15.4742939691028,33.3117169138206,5.91502972594906e-48,2.24075243735953e-46,99.1241553346981
"NARS1",3.72992807035148,14.6351592387715,39.5800124723386,8.40400933265217e-48,3.12241269820846e-46,98.8554226099923
"Numbl",3.79985292415093,15.7068055567186,40.2401413542097,9.26163425402252e-48,3.37612780731538e-46,98.7617256494201
"Synrg",3.12954418398339,16.1100889779198,38.7723800927779,1.02781453660138e-47,3.67729200872937e-46,98.6525295489581
"Sart3",3.99871508156159,14.9278965712655,43.3283864196089,1.24474035079201e-47,4.37243337769121e-46,98.4672251713708
"Rpl30",5.16821271721721,13.5431813988762,37.8813998001729,1.55680506484116e-47,5.37097747370201e-46,98.2362333459381
"Pdxdc1",5.03161122213781,14.7441567457173,38.5047544801631,1.60494005913641e-47,5.43990209517814e-46,98.2108792255917
"Rab3gap2",3.36346607968245,15.0806275875459,46.0648177718977,1.72378443101989e-47,5.74198538056971e-46,98.1267875264216
"Eef1d",4.34498973787321,15.2338456094639,32.7206064723925,2.18659496016898e-47,7.16017197126521e-46,97.8208171811186
"Eps15",3.18366492062764,16.1502846450492,37.5394828267385,2.80961962947692e-47,8.82598792735328e-46,97.6504781423657
"Atp6v1a",3.53199340869738,15.3184768949238,33.4465445626643,2.70864826771378e-47,8.72184742203839e-46,97.6256799680825
"Tagln2",3.35997361711564,19.0103150262892,32.6046998926766,2.8323563742024e-47,8.82598792735328e-46,97.5627932872987
"Grk2",5.01700284117719,15.8571234562812,45.5177113206918,3.39175512200617e-47,1.02388607745561e-45,97.4634194417883
"Lnpk",5.8689004049762,16.0374740588203,45.4938454637265,3.49399915765294e-47,1.03852405732084e-45,97.4342980091775
"Glo1",3.2196071947802,16.4895584868233,32.9345865859687,3.31622205444746e-47,1.01697476336389e-45,97.4148454681629
"Prune1",4.65092549244831,16.3197599324644,37.2093293983651,4.99185306144995e-47,1.46125153253353e-45,97.0800535517471
"Reps1",3.31274762934556,14.3227772819369,37.6837647583523,6.41144150165408e-47,1.84879178823816e-45,96.8375006483802
"Asap1",4.24811076455329,15.5445649404568,44.3855473328093,1.41078707995638e-46,4.00829505658194e-45,96.0646172124341
"Madd",4.46456469656973,15.5367367432797,44.1409670255516,1.92818295173537e-46,5.39891226485903e-45,95.7577034836017
"Rabl6",4.37094597934172,14.6979288513261,38.9978658548786,2.03800600201985e-46,5.62489656557479e-45,95.7054409684114
"Ran",2.7408543082088,15.2637795245463,31.992300572402,2.68039376140856e-46,7.29369119301597e-45,95.3307945953034
"Coro1c",2.82338573140784,15.3202866543572,33.2098729341802,2.79673044503426e-46,7.50456002750861e-45,95.3175526855341
"Oxr1",4.33704553816878,15.1138547307628,43.5827613088072,3.95822294397024e-46,1.04757352434938e-44,95.0507731369989
"Hdlbp",4.21423015377903,14.6484852212913,32.1256744861698,4.77396075690206e-46,1.24639083545065e-44,94.7649165844236
"Atg2b",3.67604561176879,14.6964007902516,43.3030416501274,5.69431101214183e-46,1.46685451672774e-44,94.6930979127723
"Nebl",3.6857705687894,15.7891993075265,43.9589708799582,8.87610646116165e-46,2.25639969512688e-44,94.2517166384418
"Dync1li1",4.67396684464989,15.5940611047908,36.6827506942316,1.03709759022284e-45,2.60217213546822e-44,94.0809851042289
"Copb2",5.00353531411734,14.5273256888854,39.3562901356669,1.14882382800462e-45,2.84554825090374e-44,94.0006875874284
"Mink1",3.96467910366224,14.6200124584242,42.7117238710763,1.23738773438348e-45,3.02611785168214e-44,93.9293023189148
"Smap1",4.69598765319132,16.8400303978436,40.8526435786825,1.3445014992599e-45,3.24697112071267e-44,93.8494453562602
"Tacc2",3.79224520460034,15.0176046664224,49.6053983254986,1.36904485363803e-45,3.26542550275145e-44,93.7619974224965
"Enah",4.90187780539032,15.8136836559726,42.4978791774445,1.64241363576752e-45,3.86968676134495e-44,93.650476103039
"Ap3s1",5.29894266124074,15.3280854629875,38.9748357719905,2.05698103348405e-45,4.78805705625445e-44,93.4241147285844
"Eif5",5.42068811893129,15.0981933832224,38.1718049799193,2.32249361547277e-45,5.34173531558736e-44,93.2993155944235
"Rnf214",4.26580631364426,15.3838030787605,41.9936415424133,3.21937479330444e-45,7.23236290774904e-44,92.9874335597498
"Chmp4b",4.11581725432637,16.5555870684301,30.577276354266,2.98961431914189e-45,6.79521748774368e-44,92.9131194116228
"Tars1",5.81400306381783,14.50300658192,48.7392186392854,3.36846626520486e-45,7.4803181889377e-44,92.8865448512363
"Chmp2b",4.67498283827791,15.3858712609773,40.1230228769027,3.83039705325012e-45,8.40946262145368e-44,92.8151784899276
"Rtn4",3.89691109058116,17.9205005472827,30.4161795768825,4.37785799855447e-45,9.50339511596318e-44,92.5321830373087
"Fam114a2",5.01992287290994,15.3003539119343,42.5103014390969,5.70515916313389e-45,1.22470750035274e-43,92.421718016297
"Rpl24",5.23213728964746,15.0217775352036,30.6006833467013,6.47903466416822e-45,1.3755488979311e-43,92.1514224810009
"Ddx3x",4.91338571880115,15.3839647412143,34.9723477174778,7.61600831334283e-45,1.59936174580199e-43,92.0913748697201
"Vcpip1",3.74020473979262,14.2721219228676,41.1253560863794,1.04443121103615e-44,2.15174285963936e-43,91.8269100920576
"Gga3",6.14973043275017,14.9970414229043,41.1236212548279,1.04691422777484e-44,2.15174285963936e-43,91.8245671236037
"Rint1",2.94101317921029,15.3994353379284,34.7881071559555,1.06639117806778e-44,2.16870290108101e-43,91.7564765079841
"Vapb",5.5806377944064,16.0748477503064,41.0673752509859,1.13075432651165e-44,2.24433226619516e-43,91.7485512761382
"Crip2",4.20515222040406,18.1276195086667,33.2209779343099,1.13842941038885e-44,2.24433226619516e-43,91.6627463447701
"Prx",-3.07578669756418,17.6294437246573,-30.0350551023856,1.08673427831247e-44,2.18705273510384e-43,91.6239484234556
"Bag3",5.20001983632676,15.5974594384784,32.709965604992,1.251797341254e-44,2.44290147808357e-43,91.5579439327556
"Tgoln1",5.55324327288713,15.011668147159,37.7006946629823,1.49654630749912e-44,2.8913274660883e-43,91.4578618015349
"Epb41l3",4.43850276349871,18.254897840118,29.824529648299,1.80323245350375e-44,3.44935158432598e-43,91.1179799016207
"Ehbp1",3.1411870795613,14.9421087194937,40.5267365727861,2.38320002386346e-44,4.42725235202328e-43,91.0125871994003
"Rtn3",5.60223144430281,17.3026486760075,36.0901024829093,2.38005676002133e-44,4.42725235202328e-43,90.9835520999295
"Prph",5.20910572423295,18.5656555498572,29.744715403325,2.18661432555322e-44,4.14170478134199e-43,90.9253528339227
"Wipi2",3.75875494075565,15.937949774469,35.350161316655,2.99386131867132e-44,5.45673591289904e-43,90.7472764977519
"Scfd2",5.27401879742422,15.4414348381909,54.4985471849987,2.86280675530957e-44,5.26756442976961e-43,90.6637107260171
"Copz1",5.57812515762586,15.3842042822452,30.6294619754868,3.23753321166134e-44,5.8457141728315e-43,90.5666163019692
"Rab11fip5",3.88170891965166,14.4368685005325,34.6577485560373,3.70342593560912e-44,6.62501750703409e-43,90.5267763111297
"Snap91",5.78666248111252,16.1639256479979,40.9050747391413,4.81311809132695e-44,8.53114142426024e-43,90.2993022788593
"Snap29",4.49003675599119,15.2812059091775,40.8216764225527,5.38851900308997e-44,9.46419883088165e-43,90.208215238462
"Smap2",4.67026616336534,15.1617442711577,42.6845755163552,5.86007904088302e-44,1.01997051414288e-42,90.1231338649068
"Add2",5.86802620043475,16.9178446318021,33.2471941797716,7.25534832163734e-44,1.24047194313304e-42,89.8374746982242
"Pcbp2",5.05161353425076,15.2024714139568,30.3077365056822,6.75360107208015e-44,1.16499618493383e-42,89.8322360288733
"Rpl4",4.66425993488357,15.0610555626794,29.5141986624991,8.49590702918361e-44,1.43983266494585e-42,89.5802241340402
"Skt",2.67560489442848,14.5228115882408,34.1289267209119,9.717163377122e-44,1.6324834473565e-42,89.5666387659044
"Palm",2.53175447523261,16.2702719759372,28.9464747431025,1.54026816461811e-43,2.56534318451914e-42,88.9740674243599
"Gls",4.57797268505007,15.3526072415865,38.700693562775,3.17210468464562e-43,5.23803953054303e-42,88.4533476885206
"Trim28",3.50119691034782,14.6782557531876,35.1473887455835,3.39594223829159e-43,5.5601359359147e-42,88.3500445219825
"Cct8",2.53096188723872,17.9848682752648,28.6234628612528,3.43729885596537e-43,5.58055578968496e-42,88.1714111976184
"Srrm2",4.1561906249622,14.6612408108351,38.4479172511805,4.57963791258119e-43,7.31228136124535e-42,88.0897949448983
"Rps3a",5.67920741295351,15.4721524547729,29.5492089198362,3.92596345005745e-43,6.32080115459249e-42,88.0735383354298
"Eif4h",3.35413590062464,15.2242895075768,32.6651016714641,5.81124894320935e-43,9.20273193301677e-42,87.7713269512908
"Camk2g",4.43610373380942,14.6808588737177,46.4446674131919,6.53372579770082e-43,1.02627302773642e-41,87.7182122158599
"Samhd1",3.54534752146686,14.7272547884144,39.7377075053603,7.97447983519158e-43,1.22275357472937e-41,87.5489501642795
"Serbp1",4.75607107092067,13.7557014346781,31.1827321466143,7.33893823771715e-43,1.14345392542496e-41,87.5072960963019
"Zyx",3.1853667244867,14.5974701159717,28.9259672995772,7.77089369533989e-43,1.20106932955173e-41,87.3792061776913
"Sugt1",3.73329163189091,15.3046628050481,37.9085707592773,1.01015656606751e-42,1.53671061861608e-41,87.3062428022508
"Akap13",4.37187095027112,14.1822620695566,42.3381720956678,1.19171698054886e-42,1.7848040359848e-41,87.1532710068252
"Rpl14",5.19266687625175,15.175622070311,28.4538503350453,1.1319621622637e-42,1.70855538866677e-41,86.9911940271251
"Ppid",4.84205321502995,15.3796617776945,36.9463811233865,1.38327569699228e-42,2.04006766915197e-41,86.9880247128757
"Lasp1",2.58355635400946,15.8106935327711,28.1207879004063,1.2169585025638e-42,1.80858755919482e-41,86.9069356037458
"Relch",6.19789517798897,14.5543674590514,39.9808539326546,1.94141595173504e-42,2.82016211936247e-41,86.6724435378701
"Cast",3.2368960811228,16.1858854196846,28.2793997283762,1.74656027973397e-42,2.55632913670153e-41,86.5574072382326
"Nap1l1",5.26263429654736,15.3157858783462,35.143544743263,2.7940970904605e-42,4.02850416326096e-41,86.2729383125328
"Cox5b",4.78614966118099,15.1447192926413,35.1103961631371,2.95225786569943e-42,4.22500903446763e-41,86.2104175302282
"Ablim2",3.55239880396344,15.8212055488474,37.0789204049191,3.48159275866099e-42,4.94590971303899e-41,86.0795749117178
"Klc1",4.20036692417326,15.2329932013323,39.4842172270043,3.78260607742529e-42,5.29564850839541e-41,86.0134482754689
"Gabbr1",4.53799660863328,15.3566430330743,37.0145846860458,3.83629142951797e-42,5.33216909484081e-41,85.9833463870733
"Pcp4l1",5.93940897554648,15.785930026785,47.5300879970974,3.78005886933003e-42,5.29564850839541e-41,85.9379470280561
"Dctn4",3.10237285591973,16.3074543918128,29.5784970890861,4.32416149351475e-42,5.96734286105036e-41,85.7115894862867
