"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Map4",4.98173706697131,19.6640616388711,82.1660469280455,1.15209942993666e-77,1.75810373008334e-74,166.457747417356
"Palm",5.21578813839501,16.2702719759372,70.9786727769822,9.26054573494641e-73,7.06579639576411e-70,155.591561054314
"Akap12",5.63413241740392,17.2816785209372,68.9701974645931,8.43893059628437e-72,4.29260269664332e-69,153.448515987557
"Cttn",4.47933119261204,16.7977272371742,64.986903802653,8.17013923421306e-70,3.11690811785228e-67,148.998154607645
"Igbp1",3.96001428281375,15.8522744169278,64.6394781044115,1.23304337912153e-69,3.76324839307891e-67,148.596625326071
"Eps15l1",3.99091220759183,16.2239488268713,63.8028446348227,3.3515829716304e-69,8.52419269117998e-67,147.620474526981
"Eif4b",3.77828534472583,17.2706640473095,62.949029239021,9.42171325563208e-69,2.05393348972779e-66,146.610563415471
"Add1",4.65030355249108,16.0134113231045,61.2544466384708,7.63198731172948e-68,1.4558015797124e-65,144.563779492425
"Cast",5.98385636578668,16.1858854196846,62.2237853820943,1.00685398225841e-67,1.70717686325148e-65,144.273844879833
"Tagln2",5.20402967556062,19.0103150262892,60.1060159055191,3.25206737654098e-67,4.96265481660153e-65,143.143421097931
"Pdap1",5.08931836271895,16.2408875125454,60.0007162889741,3.71925750415751e-67,5.15962450122214e-65,143.01180461777
"Glo1",4.90265174047352,16.4895584868233,59.6917359232553,2.33182512835456e-66,2.77779766643873e-64,141.196312964794
"Eps15",5.18059014081779,16.1502846450492,72.7066283392901,2.36640692422697e-66,2.77779766643873e-64,140.915079964891
"Lasp1",4.500310379347,15.8106935327711,58.302321877329,3.34590319929681e-66,3.64703448723353e-64,140.855854923928
"Zyx",5.79505995307558,14.5974701159717,59.7205612272137,9.55859247342061e-66,9.72427474295991e-64,139.724336017645
"Dmtn",5.61338168154486,16.5162741573058,68.4831279124054,2.59102895222809e-65,2.47119386318754e-63,138.648417893791
"Spag9",3.94688501967356,15.4209000585648,57.1573870216981,6.17126072462364e-65,5.53961403869158e-63,137.979736542508
"Myh9",4.24413093937823,16.9458264066626,56.0171546870166,7.09513789049639e-65,6.01510023383194e-63,137.852467914002
"Wasl",4.61522550747491,15.2998428181831,70.2699506200155,1.24142455880947e-64,9.97059935128028e-63,137.05290627815
"Sptan1",3.28785166070097,17.6673239164316,54.7791964230202,3.90149818699611e-64,2.83508868255051e-62,136.173494392105
"Dbnl",4.51997562064503,15.4617902980507,69.0758722724844,3.86657429592786e-64,2.83508868255051e-62,135.955787931119
"Skt",4.64848122788981,14.5228115882408,70.5741357206527,4.98813465799157e-64,3.45995158549779e-62,135.666986720684
