"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Map6",6.38084454981857,18.6156124270341,90.5513523537023,6.24432187879422e-81,3.69039423036738e-78,173.381373188126
"Eps15l1",5.41941579214804,16.2239488268713,82.6083595155512,7.60720325548762e-78,2.24792856199659e-75,166.679786323172
"Mapt",6.83738197273137,17.9734754777206,92.1918776533943,1.84063192266283e-77,3.62604488764577e-75,165.374313764047
"Eif4b",4.92956873136995,17.2706640473095,78.3081324975556,4.7339465734482e-76,6.99440606226972e-74,162.747393337598
"Map1a",6.33046301105335,18.0449933957699,69.7586675610955,3.51857911000488e-72,4.15896050802576e-70,154.184034927143
"Palm",5.18718976932051,16.2702719759372,67.3044416804034,5.53271884469603e-71,5.44972806202559e-69,151.518027995355
"Map4",4.11805221406296,19.6640616388711,64.7600383876365,1.06867575996044e-69,9.02267677338031e-68,148.644033723285
"Ncam1",5.38760545765243,18.279379371535,64.132071177369,2.25791386839341e-69,1.66803387027563e-67,147.916577991213
"Dmtn",6.65560250736208,16.5162741573058,77.4194442121526,5.95287403414142e-69,3.9090539490862e-67,146.564155659779
"Akap12",5.36261354365806,17.2816785209372,62.5913873151371,1.45846951285783e-68,8.61955482098979e-67,146.099994453693
"Igbp1",3.97089250671465,15.8522744169278,61.8006264148096,3.86551976623741e-68,2.07683834713301e-66,145.14956856493
"Pdap1",5.33401178946031,16.2408875125454,59.9590087809577,3.9225975768483e-67,1.93187930659779e-65,142.886639088711
"Aak1",5.72429479952168,15.9454720462849,59.0042771442081,5.59511252661418e-66,2.54362423325306e-64,140.235184805103
"Add1",4.60545311166662,16.0134113231045,57.8405402335125,6.14484132383051e-66,2.59400087313131e-64,140.193737783299
"Glo1",5.13712047480839,16.4895584868233,58.4405084257811,1.15533415040799e-65,4.55201655260746e-64,139.526560831746
"Sptan1",3.59207228779573,17.6673239164316,57.0626803398881,1.72898510868506e-65,6.38643874520544e-64,139.179652624015
"Tagln2",5.0820399230086,19.0103150262892,55.9654380452538,7.61330648051808e-65,2.64674360587423e-63,137.725101591163
"Cttn",4.01962640456039,16.7977272371742,55.6034859336051,1.24904812623063e-64,4.10104134779056e-63,137.238949400626
"Atp1a1",4.85535359947862,16.326316803046,55.0526257773905,2.66912028211613e-64,7.88725043365316e-63,136.492906500081
"Rtn1",6.27501299684688,17.6785777480326,66.2404205537747,2.50735496175886e-64,7.79919359157626e-63,136.349981744238
"Txn",4.21724852062957,21.5168182127974,55.6844859336993,4.41708701485859e-64,1.24309448846735e-62,135.958831729341
"Nefl",4.99960891496241,17.8825797527872,64.6481903614226,1.31490863918355e-63,3.53232275344308e-62,134.746048965575
"Vwa5a",5.9391477185864,17.6612320530953,51.3901777257842,5.03549986088094e-62,1.29390452946984e-60,131.333857685315
"Dctn4",6.36823816931256,16.3074543918128,57.1314511281544,7.65347463946249e-62,1.88466812996764e-60,130.499637967004
"Rtn4",5.69078828901863,17.9205005472827,50.407376003297,2.18171125269885e-61,5.15756540138007e-60,129.887056960936
"Lasp1",4.04903897669713,15.8106935327711,50.0148531693692,3.94805802315541e-61,8.97423958340326e-60,129.301403116653
"Sptbn1",4.253628550631,15.4742939691028,49.8798224569473,4.84657227457916e-61,1.06086082010233e-59,129.098884467755
"Gspt1",3.72817618776055,15.8707634330785,48.532266241872,3.86142015414564e-60,8.15035468250025e-59,127.047725671033
"Map1b",5.90026687654732,18.855154543221,48.4886642056566,4.13333395002502e-60,8.4234495326372e-59,126.980426941576
"Anxa6",5.22886322537065,16.2092770680815,48.2438112291793,6.0635273038055e-60,1.19451487884968e-58,126.601396870501
"Upf1",3.90680959307747,15.9689868956269,47.5361611155623,1.85434322270372e-59,3.53521562779967e-58,125.49528491477
"Ppp3ca",6.29711413572405,16.3470193452218,46.6017701144964,8.31089006688479e-59,1.488404857433e-57,124.009885736369
"Coro1c",4.14055736648438,15.3202866543572,49.8910630616225,7.95718992315647e-59,1.46959351393296e-57,123.93901008348
"Tnks1bp1",3.66212183139337,15.4041540827236,46.3602307544109,1.23034994013151e-58,2.13863769005213e-57,123.621197902526
"Cct8",3.60551206858953,17.9848682752648,46.2744234914497,1.41499790598554e-58,2.38932503553558e-57,123.482642399622
"Synm",6.21318650231762,17.5879685682701,46.1412209098528,1.75886790448164e-58,2.88747480985736e-57,123.267061660627
"Strn",4.6435886957842,15.9651663541871,51.1535227333494,1.84730595676863e-58,2.95069681202773e-57,122.952616624433
"Atp6v1a",4.56215886197731,15.3184768949238,46.9402059520858,5.47744267093552e-58,8.51886478558656e-57,122.112059433358
"Spag9",3.40202013070393,15.4209000585648,46.0326355822207,6.93975950572143e-58,1.05164047894394e-56,121.89563887734
"Atp2b4",4.07881735330715,14.9528489690295,47.4084984413621,9.05806142347559e-58,1.33832857531852e-56,121.588812987377
"Cast",4.69652306267907,16.1858854196846,45.6312952934933,1.33241142757708e-57,1.92062232609282e-56,121.249626830866
"Plaa",4.4961377175422,14.8312195397937,47.6821158711205,2.07188918462437e-57,2.84764304212326e-56,120.735807204182
"Synj1",6.98967254703628,16.1404299011271,61.691326642137,1.68818625158231e-57,2.37551922544082e-56,120.244398960608
"Epb41l3",5.74166602980251,18.254897840118,43.7837072625503,9.13353386813121e-57,1.22679966274217e-55,119.348658416045
"Pebp1",4.25073010033211,17.0244973606034,44.4338004864365,9.63561572924794e-57,1.26547753244123e-55,119.288848844603
"Chmp4b",5.15587062870127,16.5555870684301,43.4692574405723,1.56988748619286e-56,2.01696413986952e-55,118.810747516213
"Dync1li2",5.84027347083766,15.7278440918488,47.8639760004246,1.9570306179625e-56,2.46086190471455e-55,118.402967917533
"Ank3",4.81321451627404,15.1704346318239,43.0682017757516,3.14898781734888e-56,3.87719125011081e-55,118.119258744536
"Efhd2",4.28693269340786,15.6662644879575,43.294543805522,6.57423714562875e-55,7.92933500625836e-54,115.078741656401
"Araf",3.64058094927971,15.7266318051616,41.2615362966266,7.81380044838269e-55,9.23591212998834e-54,114.926238300033
"Tuba4a",5.72300127069726,19.1771242042269,40.2805494162824,4.71758800161991e-54,5.46685197834777e-53,113.13662788818
"Crip2",6.15775958988734,18.1276195086667,45.7748855462802,5.19922442279416e-54,5.90911852667567e-53,112.912103186439
"Prph",6.17578185718264,18.5656555498572,40.0199082271373,7.65769600870846e-54,8.5390534738617e-53,112.65424949867
"Usp5",5.4645802939607,15.9178778402178,41.6936687957321,3.06754879894726e-53,3.35726174107005e-52,111.255202922987
"Pygb",5.86124155072323,16.4001204085727,45.1104774799537,4.78887442578963e-53,5.14586324662122e-52,110.872884486141
"Epb41l1",4.87027396088951,15.6408958257403,38.3999057503171,1.66047882361335e-52,1.75239818706338e-51,109.588505043773
"Ppp1r2",6.24187804926938,16.5464108864357,39.4038848489712,5.81439390275428e-52,6.02860841496102e-51,108.365972672244
"Fermt2",2.9225446183474,15.3444422842206,37.5575167007354,8.61450820350875e-52,8.77788680736839e-51,107.946528682604
"Epn2",4.24877636694798,15.0689836083069,41.0119947686787,9.23597702135475e-52,9.25163121969603e-51,107.863855046179
"Add2",6.7914429638172,16.9178446318021,42.7927228541467,5.31879993928078e-51,5.23901794019157e-50,106.207597020723
"Alb",2.91173977156188,16.2918037319719,36.5478915462251,6.47668394276175e-51,6.27495116421671e-50,105.93325890655
"Sorbs1",2.20078172959564,16.3012158788323,35.1029841346824,1.26891645721171e-49,1.20956391324535e-48,102.961740408779
"Ist1",5.44252394942537,15.5857713526881,36.2454999154196,2.28062458683822e-49,2.13944306479585e-48,102.404482790511
"Cs",6.29719170919456,16.0458193594338,43.7566370775104,5.66783143061937e-49,5.23388808671258e-48,100.603416967183
"Eps15",5.3259635979991,16.1502846450492,39.3950552643106,1.20747041627631e-48,1.09786925541431e-47,100.103168888032
"Nefm",5.17307053394887,19.5454254030982,33.6214865373834,3.0052923764725e-48,2.69110271893219e-47,99.7978679457455
"Anxa2",3.76793207393858,17.8491538583952,33.2579249664915,6.65679385873262e-48,5.87188831419549e-47,99.0023959148548
"Dpysl3",5.00236315464519,15.9720648319164,33.162844507925,8.20601160744222e-48,7.13198949999758e-47,98.7930836590028
"Bag3",6.51295500566434,15.5974594384784,36.3455085673677,1.04919610776762e-47,8.98659274914001e-47,98.5601538820421
"Psmc3",4.76666941265983,16.4111523379688,35.0377856254918,1.75298446121138e-47,1.48001973796561e-46,98.0845843819912
"Lypla2",4.60914302685046,17.8960216366204,32.4339003688553,4.15318423024575e-47,3.45708715503554e-46,97.1704566310431
"Tppp3",4.50820416060485,19.3676332495361,32.1485940555446,7.90228830400002e-47,6.31115187522164e-46,96.526583500681
"Smap1",6.69861163791205,16.8400303978436,43.0155204608048,6.66651230135267e-47,5.39713530150607e-46,96.3899677317252
"Prune1",7.39131501312601,16.3197599324644,37.0951182783294,6.09649157232824e-47,5.00420349895276e-46,96.3370080868142
"Arhgdia",4.97029359117974,15.3907770854637,34.1448529887457,1.0415733679513e-46,8.20759813945628e-46,96.3107224051175
"Sec22b",3.46578024468393,15.8704987955472,31.4995292388554,3.47815354205564e-46,2.70472203073011e-45,95.0428889410445
"Ran",2.44022678377735,15.2637795245463,31.6763124212962,5.46650465832151e-46,4.19571980917924e-45,94.6075882379379
"Rtn3",7.24571744310376,17.3026486760075,38.3382824722255,5.82743129845387e-46,4.4153998684439e-45,94.5252382489331
"Hdlbp",3.84883496743222,14.6484852212913,31.8791335062844,8.24849237330309e-46,6.15023288819791e-45,94.2126672075712
"Tardbp",2.46313920496226,15.9065528442593,31.1225410158556,8.32518834273828e-46,6.15023288819791e-45,94.1688232504537
"Avil",6.81023696995218,17.0311996978889,31.6705427512864,1.3138713080371e-45,9.58639435864104e-45,93.7382430383709
"Copz1",5.51264860360212,15.3842042822452,32.0120945094672,1.47842360976943e-45,1.06554677240699e-44,93.6447980463205
"Ahcyl1",3.0804738010113,16.1489527325258,31.145095524878,1.83680281143074e-45,1.3078921223561e-44,93.3943725965317
"Map2",5.95026870295931,17.4828252622904,36.5658259760237,3.66627007083148e-45,2.57948287126358e-44,92.8573097083882
"Hspa8",2.65259100508347,15.9144119377098,30.6601745132646,5.640084735669e-45,3.92151773974162e-44,92.271024427461
"Nefh",5.79109113263065,18.6838004764299,30.1307623811235,8.64112844298199e-45,5.93826384860739e-44,91.8247022834788
"G6pdx",4.24447465158112,14.9430913976927,32.0727931925313,1.88274021837287e-44,1.27896490696364e-43,91.136481772332
"Stxbp1",5.7484866676709,16.1325471332635,33.3713708591445,2.18883096288202e-44,1.46999897620827e-43,91.0182943232537
"Pcmt1",6.59639378078174,15.984666588283,34.3273233044724,2.49226033581402e-44,1.65497287468099e-43,90.8345192824266
"Tigar",6.89821068933399,15.8322417465089,35.1823303576262,4.02125133126397e-44,2.64062170753001e-43,90.3640575657503
"Anxa5",2.5144074797481,14.8139009721301,29.7028760200264,5.40316717957373e-44,3.50908989354733e-43,90.0074793170891
"Eif4h",3.74416552690284,15.2242895075768,33.2864727181627,1.76165623237953e-43,1.13167264493076e-42,88.9388607725619
