"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Map6",5.52215867946832,18.6156124270341,73.0282392772596,1.0330644577941e-73,1.05269268249218e-70,157.361388601102
"Mapt",5.56103428466063,17.9734754777206,57.5600744081464,1.07145235433402e-62,5.45904974533183e-60,132.216897262401
"Akap12",4.51844458858203,17.2816785209372,49.1464563867741,1.48960764953137e-60,5.05970064957488e-58,127.922630020421
"Ncam1",4.18828239465789,18.279379371535,46.4601502138096,1.04579311540344e-58,2.66415796149025e-56,123.729674976285
"Map1b",4.81106897650464,18.855154543221,36.8447249980232,3.56080793911719e-51,7.25692657992083e-49,106.522878411089
"Epb41l3",4.90367404353741,18.254897840118,34.8466769733349,2.17535119577539e-49,3.69447144749188e-47,102.423669838841
"Map1a",3.32960123146301,18.0449933957699,34.1916529155691,8.76487498390134e-49,1.27591537265649e-46,101.033221155039
"Palm",2.54296266994965,16.2702719759372,30.7479910404954,1.99933044988999e-45,2.54664716054738e-43,93.3071644516666
"Cep170",5.35988954673566,16.0180223961246,38.442486224174,1.45748916689327e-44,1.65020162340472e-42,91.330748581734
"Sptan1",1.97057290799723,17.6673239164316,29.1719042081106,8.83497597452077e-44,9.00284051803667e-42,89.5158308254847
"Map4",1.96132669648269,19.6640616388711,28.7428851815048,2.55239794225578e-43,2.35317382761898e-41,88.4535206197285
"Avil",7.16356938903812,17.0311996978889,29.3552145634051,2.77115661741195e-43,2.35317382761898e-41,88.4080050335372
"Ckap5",3.16270389789805,14.1075811488514,33.8560820141577,4.3318157229255e-43,3.39547709358545e-41,88.0903346164354
"Tuba4a",4.28940303196373,19.1771242042269,28.1341351455912,1.17650221526499e-42,8.56325540967872e-41,86.922951320895
"Prph",4.52005654449859,18.5656555498572,27.2956336383535,1.00994707112076e-41,6.83650897637074e-40,84.7687019908983
"Sorbs1",1.83479348171333,16.3012158788323,27.2721530846777,1.07344596292377e-41,6.83650897637074e-40,84.7075899901153
"Dctn4",2.83657254937566,16.3074543918128,28.6008324542171,4.05487588778327e-41,2.4305403115595e-39,83.457550131475
"Nefm",4.35628029001338,19.5454254030982,26.38453825777,1.11078753135331e-40,6.28829163582789e-39,82.3650640508578
"Atp6v1a",2.6057704434106,15.3184768949238,26.0957745949566,9.74648244789473e-40,5.22719242863407e-38,80.2142222954518
"Clasp2",4.54025639869627,15.7558809444069,32.2786161575885,7.68238552925099e-39,3.91417542715338e-37,77.3711914611795
"Rtn4",2.92953095872991,17.9205005472827,24.1815939807519,4.86267581399348e-38,2.35955554974255e-36,76.264007368129
"Ank3",2.89063981313443,15.1704346318239,24.1035312486952,6.07927118353699e-38,2.815807880011e-36,76.0398923140528
"Vwa5a",2.91913707678314,17.6612320530953,23.5383303200279,3.11342758129628e-37,1.37938378493083e-35,74.4002689509579
"Strn",1.96172738436115,15.9651663541871,24.28786145175,1.80041587813576e-36,7.6442657492514e-35,72.7238598038688
"Eps15",2.01655930117081,16.1502846450492,25.1463292468614,3.23604512909621e-36,1.31901199461961e-34,72.1972769792313
"Add1",1.9265949091857,16.0134113231045,22.5483909202851,5.85144006060839e-36,2.2933143929846e-34,71.45473937321
"Aak1",2.31381368681234,15.9454720462849,22.6802400712643,7.0788441679239e-36,2.67160822485721e-34,71.2771067253413
"Dync1li1",3.10254810699536,15.5940611047908,25.0991642428367,1.54757263209502e-35,5.63205897180296e-34,70.6696142521976
"Ppp3ca",3.21571402697852,16.3470193452218,22.1770328537503,1.80255248385424e-35,6.3337964863706e-34,70.3247809667898
"Dync1li2",2.53554101376309,15.7278440918488,23.3547406512024,2.22250561522843e-35,7.54911073972589e-34,70.1997885478373
"Txn",1.75198337985023,21.5168182127974,21.9984844132997,5.46721366410534e-35,1.79712603991076e-33,69.2238333109853
"Sncg",4.92545328897898,21.2069966561015,21.1146959575149,4.86666636821065e-34,1.54972907162708e-32,67.0140330135969
"Numbl",2.23555886950171,15.7068055567186,23.6743912751589,1.00420186316716e-33,3.10085363202223e-32,66.5098313466224
"Wasl",1.68374049888008,15.2998428181831,22.7782685703623,2.5776621421106e-33,7.2962158966964e-32,65.5018309773842
"Araf",1.95171915558772,15.7266318051616,20.6137591844925,2.39862553435005e-33,7.18882182206676e-32,65.4113794697215
"Eps15l1",1.45001334383163,16.2239488268713,20.5972241740178,2.52945825492564e-33,7.2962158966964e-32,65.3580143453955
"Atp1a1",1.94740930231501,16.326316803046,20.5768828962904,2.7003474323181e-33,7.43690279333013e-32,65.2923238213421
"Dnm1l",2.44454690396139,16.4332558659324,22.4584218814184,1.13250799046084e-32,3.03690958494629e-31,64.0442370032874
"Rtn3",4.39871923049882,17.3026486760075,22.9134823293088,1.31377873237993e-32,3.4326680212696e-31,64.0194870604404
"Plaa",1.8833953354257,14.8312195397937,20.6202115835955,1.90798466272186e-32,4.86059092828395e-31,63.3820014862608
"Cd2ap",2.21915156740515,15.2057881746265,24.4418201958446,1.26930079549629e-31,3.1546768551481e-30,61.7867850419344
"Wipi2",2.37512968448114,15.937949774469,21.5378928193178,2.40048223341594e-31,5.82402713297821e-30,61.0264778040072
"Rab3c",2.94894461132334,15.8222743872452,24.5976933994774,9.9330011420807e-31,2.30039276449551e-29,59.8603962751772
"Arl15",2.06869054894042,14.3530210113819,20.6013342192123,9.55601761233625e-31,2.26455394115596e-29,59.5523944374297
"Wnk1",3.4321483751163,14.6394362935625,20.7478569528282,1.12757141527062e-30,2.55332282702392e-29,59.417949310877
"Macroh2a1",-3.4768199983342,15.0731872572934,-18.2528645798917,9.89891902610336e-30,2.19282575817376e-28,57.056629515952
"Anxa6",2.10484619446766,16.2092770680815,18.0975533576778,1.10433261770276e-29,2.39428710093427e-28,56.9340221559731
"Bcas3",2.03164082697945,14.8361987165247,19.5999237158267,1.69776526418308e-29,3.60421417542201e-28,56.6570269683279
"Eif4b",1.19180870750373,17.2706640473095,17.6428875671802,5.48621505474927e-29,1.14090880424276e-27,55.3226167832228
"Fam114a2",2.87193745971404,15.3003539119343,21.1871513896438,9.30882712140653e-29,1.89713896734265e-27,55.2237170563035
"Tppp3",2.62687799271338,19.3676332495361,17.4567536461153,1.06517517844575e-28,2.12826177811023e-27,54.6556400614689
"Dock7",1.96543460132101,14.8009831362466,19.1865235907401,2.78155292554811e-28,5.34792911534628e-27,53.9280160417911
"Scyl2",1.53072238612121,14.6347376939732,18.6827320770013,2.59814552820961e-28,5.09136594854922e-27,53.9111681986967
"Ciapin1",2.29717862466365,15.2580075919384,18.6488803447685,4.7464088878628e-28,8.95664936431888e-27,53.3379335857436
"Tigar",3.09916513461029,15.8322417465089,18.5556926641178,1.03662536237496e-27,1.92058408047289e-26,52.6114813088334
"Sptbn1",1.53839317175549,15.4742939691028,16.8111665923159,1.09945834931337e-27,2.00062153205415e-26,52.3090798410363
"Epb41l1",2.28071016996608,15.6408958257403,16.7576084046066,1.33748574056936e-27,2.39104906954417e-26,52.1120743027224
"Septin5",2.47498235455911,15.3313719959338,18.0923551504812,4.13875335083637e-27,7.27136149052114e-26,51.2811414862028
"Esyt1",2.57925850499094,15.0182383989778,18.3017876438597,9.99491726461061e-27,1.72624079536241e-25,50.3357878327753
"Pygb",3.95176025575096,16.4001204085727,16.9993223043776,2.10207414926518e-26,3.57002259683537e-25,49.7486941413816
"Crip2",2.01828657116833,18.1276195086667,16.8622758175324,2.17894050129728e-26,3.63990224724907e-25,49.4085605247638
"Skt",1.31871331778147,14.5228115882408,17.3386592120249,2.62843629489977e-26,4.31996223306914e-25,49.2972060840534
