"","Gene","Tissue","Type"
"1","Eif4b","DRG","DEP"
"2","Map6","DRG","DEP"
"3","Spag9","DRG","DEP"
"4","Eps15l1","DRG","DEP"
"5","Nefl","DRG","DEP"
"6","Upf1","DRG","DEP"
"7","Tardbp","DRG","DEP"
"8","Pdap1","DRG","DEP"
"9","Clint1","DRG","DEP"
"10","Dmtn","DRG","DEP"
"11","Strn","DRG","DEP"
"12","Hnrnpk","DRG","DEP"
"13","Map1a","DRG","DEP"
"14","Birc6","DRG","DEP"
"15","Psmc3","DRG","DEP"
"16","Scyl1","DRG","DEP"
"17","Stx7","DRG","DEP"
"18","Ncl","DRG","DEP"
"19","Washc2","DRG","DEP"
"20","Dbnl","DRG","DEP"
"21","Mapt","DRG","DEP"
"22","Cttn","DRG","DEP"
"23","Fus","DRG","DEP"
"24","Magi1","DRG","DEP"
"25","Rpsa","DRG","DEP"
"26","Aak1","DRG","DEP"
"27","Synj1","DRG","DEP"
"28","Mtdh","DRG","DEP"
"29","Dync1li2","DRG","DEP"
"30","Ddx5","DRG","DEP"
"31","Atxn2l","DRG","DEP"
"32","Amph","DRG","DEP"
"33","Ubap2l","DRG","DEP"
"34","Rbm14","DRG","DEP"
"35","Uqcrc2","DRG","DEP"
"36","Atp1a1","DRG","DEP"
"37","Ciapin1","DRG","DEP"
"38","Sec22b","DRG","DEP"
"39","Ampd2","DRG","DEP"
"40","Nudc","DRG","DEP"
"41","Cs","DRG","DEP"
"42","Rtn1","DRG","DEP"
"43","Arhgap1","DRG","DEP"
"44","Dnm1l","DRG","DEP"
"45","Dnm3","DRG","DEP"
"46","Ppp3ca","DRG","DEP"
"47","Ermp1","DRG","DEP"
"48","Fermt2","DRG","DEP"
"49","Map7","DRG","DEP"
"50","Sptbn1","DRG","DEP"
"51","Synrg","DRG","DEP"
"52","NARS1","DRG","DEP"
"53","Eif3c","DRG","DEP"
"54","Numbl","DRG","DEP"
"55","Rab3gap2","DRG","DEP"
"56","Sart3","DRG","DEP"
"57","Eps15","DRG","DEP"
"58","Pdxdc1","DRG","DEP"
"59","Rpl30","DRG","DEP"
"60","Atp6v1a","DRG","DEP"
"61","Tagln2","DRG","DEP"
"62","Eef1d","DRG","DEP"
"63","Glo1","DRG","DEP"
"64","Grk2","DRG","DEP"
"65","Lnpk","DRG","DEP"
"66","Reps1","DRG","DEP"
"67","Prune1","DRG","DEP"
"68","Asap1","DRG","DEP"
"69","Madd","DRG","DEP"
"70","Ran","DRG","DEP"
"71","Coro1c","DRG","DEP"
"72","Rabl6","DRG","DEP"
"73","Oxr1","DRG","DEP"
