"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Camk2d",-2.54859181593137,17.2247320085752,-34.4980770694127,2.25317459349594e-11,5.29270712012197e-08,16.5853351939459
"Nckipsd",2.69615554310913,14.884892220404,31.4219979197225,5.47371521142033e-11,6.42887851581317e-08,15.8112906624411
"Fhip1b",3.29214443942221,15.2554663860398,29.0228556086936,1.16308644834591e-10,9.10696689054848e-08,15.1316686630032
"Ncdn",3.35036157164577,19.7580913502051,27.4760142392058,1.95446734674213e-10,1.14776094937431e-07,14.6528028924328
"Uqcrc2",2.283113194822,15.877293244609,26.0540933749711,3.23191164245429e-10,1.48081978988052e-07,14.1810230172096
"Pacsin1",2.4489583416637,15.5789231123199,25.6243286429849,3.78242602779189e-10,1.48081978988052e-07,14.0320037788262
"Arhgap21",-3.67506389755302,14.9807368117496,-28.9277141268488,7.43707222344396e-10,2.46529235391345e-07,13.316337594973
"Irgq",1.90700038667218,16.8851201221401,23.5495155060737,8.39605739944982e-10,2.46529235391345e-07,13.2664963621598
"Mtmr7",1.74036760180945,15.459222156742,21.8679833485931,1.68720342174258e-09,4.40360093074814e-07,12.5838953620851
"Vps13c",3.28455200015415,14.3149359742431,20.1813558719812,3.58626850656033e-09,7.12466111666799e-07,11.8347082848614
"Eml2",3.22610163389358,15.0298284252462,20.0434946251738,3.82437433983046e-09,7.12466111666799e-07,11.770326207738
"Numb",-1.68573668988202,17.4093774687908,-19.9857960321351,3.92915599335365e-09,7.12466111666799e-07,11.7432317504074
"Ank2",-1.58913224436787,17.1360215706914,-19.9783107198304,3.94297975805381e-09,7.12466111666799e-07,11.7397102768781
"Chchd3",2.81713962256985,15.6236750249578,19.6996866589255,4.49771672324534e-09,7.54652613064522e-07,11.6075626028085
"Skp1",1.87628857371443,17.9238112288469,19.1320685164836,5.91405219411221e-09,9.26140573597972e-07,11.3317429126732
"Rnf7",1.6260760482959,15.4177677400032,18.9057357403829,6.61048884578877e-09,9.70502393672364e-07,11.2192097173733
"Map7d1",-1.3816962071451,16.3115957977016,-17.6730935208655,1.24054716615531e-08,1.61203509612012e-06,10.5791292636518
"Sart3",1.35107326832338,18.2468943341654,17.6234525284832,1.27349615251557e-08,1.61203509612012e-06,10.5523418212258
"Ccar1",1.75908217695012,15.4063899254913,17.5788817732268,1.3039023765978e-08,1.61203509612012e-06,10.5282208764313
"Nav1",1.55370406529065,15.1037985206409,17.0703647220832,1.71367846901795e-08,1.91924652923768e-06,10.2482696525079
"Akap12",-1.34970628795062,19.0847372352016,-17.0680927662232,1.7158014948485e-08,1.91924652923768e-06,10.2469989194522
"Sprr1a",-2.68336498804137,21.5688203703982,-16.8935487265754,1.88790013732506e-08,2.01576246480753e-06,10.1488310259579
"Ryr2",1.73303136331998,15.527570544245,16.5750975288774,2.25302896022895e-08,2.30102827285991e-06,9.96691575967438
"Ecpas",3.0532108069297,14.0511273824325,18.8859182464881,2.73801148008089e-08,2.4820518619006e-06,9.9071053725943
"Kcnq2",-1.69721387048792,13.7104721958617,-16.4069854363372,2.47664555367349e-08,2.42401683565793e-06,9.86938397281686
"Phf5a",1.63567422790515,15.0802411258975,16.2245913265908,2.7472689829466e-08,2.4820518619006e-06,9.7623684231882
"Plekha2",-3.74597591328668,14.9632818142147,-16.0692442157793,3.0035527824078e-08,2.56776399011608e-06,9.67022145419372
"Aimp2",-1.29823775805398,16.0233278520413,-16.0365566715772,3.06076593117285e-08,2.56776399011608e-06,9.65071348848405
"Akap2",-1.59744585538947,15.1046444848888,-15.8898611979496,3.33273112276184e-08,2.6199980228915e-06,9.56265098225976
"Shc1",-2.3056093858175,14.4797036825934,-15.8829921957843,3.34610220037228e-08,2.6199980228915e-06,9.55850670391447
"Rac1",1.8677372075228,14.6504078630015,17.5170313121153,5.14522255662197e-08,3.7203414816675e-06,9.27256150822148
"Ywhag",2.60981764156506,15.2873017294238,17.1279608771818,6.20867473861468e-08,4.05116026694608e-06,9.0819370641279
