"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Prph",6.4460516070996,18.7281683465587,73.1765756485207,4.71319333310013e-21,2.46028691987827e-18,37.6848688956474
"Rtn4",6.393686378862,17.6216710616227,65.667038642708,2.49779649253892e-20,6.51924884552657e-18,36.3201689104044
"Synm",5.42534265703225,17.0716425610862,62.0405965528345,5.9886078511921e-20,1.04201776610743e-17,35.5784608900856
"Cend1",8.14830415150582,18.2010501606788,70.601392368227,9.39097640129037e-20,1.22552242036839e-17,34.6389153619378
"TurboID",6.69643838838777,19.1962136491956,57.6607731307511,1.84719447993294e-19,1.6741033002978e-17,34.5989518993705
"Sart3",5.44225801238588,15.723701477661,57.5077507288711,1.92425666700896e-19,1.6741033002978e-17,34.5629273527325
"Tardbp",5.19856096376362,17.3915333814317,56.4381133243038,2.56839882959958e-19,1.91529169864426e-17,34.307504140955
"Mapt",4.89289429729062,17.512563686812,55.5295838111855,3.29638634777655e-19,1.91767218446314e-17,34.0854739015571
"Map6",4.2900642739405,16.5983526698017,55.5187053850531,3.30633135252266e-19,1.91767218446314e-17,34.0827864889402
"Rtn1",5.04970840834877,17.2401288775795,54.79210350996,4.0486417508134e-19,2.04851103602829e-17,33.9017090560605
"Eef1a1;Eef1a2",5.03688883041568,17.9144323803833,54.5640134334008,4.3167857081056e-19,2.04851103602829e-17,33.8442183603042
"Ran",4.28303122217335,14.8377359854849,52.2087806920037,8.50516247179879e-19,3.69974567523247e-17,33.2317591486746
"Akap12",3.57405188127495,16.8374577157983,51.2914107273004,1.11679332171462e-18,4.16404367096453e-17,32.9835287965291
"Map1a",4.84406202690187,16.7707616345641,50.7330645385331,1.321287818219e-18,4.51093336571408e-17,32.8296669495564
"Map1b",5.62591668224672,18.1050506422897,50.5833305526465,1.38266156803497e-18,4.51093336571408e-17,32.7880404101178
"Tppp3",5.96431884198304,19.103405028537,59.9732645810223,9.84359285243012e-19,3.95258112997579e-17,32.7519755543319
"Nefh",6.82379217756212,17.399316772633,49.9580638910567,1.67373105309386e-18,5.13933888067643e-17,32.6125194337145
"Map2",5.77252174332597,16.8428209594691,49.7119029186077,1.80564321681125e-18,5.23636532875262e-17,32.5426588592616
