"","Gene","Condition","Type"
"1","Prph","Ox","B"
"2","Rtn4","Ox","B"
"3","Synm","Ox","B"
"4","Cend1","Ox","B"
"5","TurboID","Ox","B"
"6","Sart3","Ox","B"
"7","Tardbp","Ox","B"
"8","Mapt","Ox","B"
"9","Map6","Ox","B"
"10","Rtn1","Ox","B"
"11","Eef1a1;Eef1a2","Ox","B"
"12","Ran","Ox","B"
"13","Akap12","Ox","B"
"14","Map1a","Ox","B"
"15","Map1b","Ox","B"
"16","Tppp3","Ox","B"
"17","Nefh","Ox","B"
"18","Map2","Ox","B"
"19","Eps15l1","Ox","B"
"20","Anxa6","Ox","B"
"21","Pcbp2","Ox","B"
"22","Dync1li2","Ox","B"
"23","Eif4b","Ox","B"
"24","Clic1","Ox","B"
"25","Copz1","Ox","B"
"26","Cct8","Ox","B"
"27","Hnrnpk","Ox","B"
"28","Eif4g1","Ox","B"
"29","Eef1a2","Ox","B"
"30","Mtdh","Ox","B"
"31","Psmc3","Ox","B"
"32","Avil","Ox","B"
"33","Tpd52l2","Ox","B"
"34","Nacad","Ox","B"
"35","Nefm","Ox","B"
"36","Dctn2","Ox","B"
"37","Atp5f1b","Ox","B"
"38","Efhd2","Ox","B"
"39","Prph;Vim","Ox","B"
"40","Epb41l3","Ox","B"
"41","Rpl14","Ox","B"
"42","Ncl","Ox","B"
"43","Fus","Ox","B"
"44","Pcbp1","Ox","B"
"45","Spag9","Ox","B"
"46","Esyt1","Ox","B"
"47","Add2","Ox","B"
"48","Eef1d","Ox","B"
"49","Map4","Ox","B"
"50","Dctn4","Ox","B"
"51","Atp5f1a","Ox","B"
"52","Nefl","Ox","B"
"53","Rpl4","Ox","B"
"54","Fubp1","Ox","B"
"55","Arhgdia","Ox","B"
"56","Sncb;Sncg","Ox","B"
"57","Srrm2","Ox","B"
"58","Elavl4","Ox","B"
"59","Pygb","Ox","B"
"60","Washc2","Ox","B"
"61","Lasp1","Ox","B"
"62","Rps6","Ox","B"
"63","Set","Ox","B"
"64","Nono","Ox","B"
"65","Clasp2","Ox","B"
"66","Myh9","Ox","B"
"67","Stx7","Ox","B"
"68","Tuba4a","Ox","B"
"69","Eps15","Ox","B"
"70","Sec22b","Ox","B"
"71","Pcbp3","Ox","B"
"72","Vwa5a","Ox","B"
"73","Atxn2l","Ox","B"
"74","Pdap1","Ox","B"
"75","Pcnp","Ox","B"
"76","Amph","Ox","B"
"77","Rpsa","Ox","B"
"78","Gmds","Ox","B"
