"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Prph",7.58221055334055,18.7281683465587,86.3476699552145,1.89748950361721e-22,5.46476977041758e-20,40.3714632790574
"Akap12",5.41506619633797,16.8374577157983,77.7303344600096,9.85130773532402e-22,1.41858831388666e-19,39.1142906128665
"Eps15l1",5.5765954590209,15.3141533418734,72.6800806868482,2.82075683231578e-21,2.70792655902315e-19,38.2737946730459
"Rtn4",6.6393796200382,17.6216710616227,68.4680464380596,7.18185475585227e-21,4.02476678053155e-19,37.504386885813
"Map6",5.22970178171737,16.5983526698017,67.7938350709287,8.38493079277406e-21,4.02476678053155e-19,37.3749099462031
"Cend1",8.75520746437313,18.2010501606788,82.3547159141933,5.28151142522291e-21,3.80268822616049e-19,37.3113666603654
"Tardbp",6.1062200607403,17.3915333814317,66.5304954451593,1.12550067296215e-20,4.63063134018714e-19,37.1273225504296
"Synm",5.64528842726608,17.0716425610862,64.7559980500466,1.71811566001268e-20,5.49797011204058e-19,36.7682079834941
"TurboID",7.39472547224725,19.1962136491956,64.0094157438058,2.05987956194578e-20,5.93245313840385e-19,36.6130058532811
"Tppp3",6.98212606563617,19.103405028537,76.1239985315547,1.67467275947022e-20,5.49797011204058e-19,36.4262809516396
"Rtn1",5.7815756134064,17.2401288775795,62.9591681015845,2.66831149495857e-20,6.98612464134606e-19,36.3904055147831
"Map1a",5.79330076468022,16.7707616345641,60.9118856020311,4.47490007362337e-20,1.05109101531761e-18,35.9415607550734
"Mapt",5.33016998480282,17.512563686812,60.6844331183976,4.74450805525311e-20,1.05109101531761e-18,35.8904347012594
"Map1b",6.66931153927317,18.1050506422897,60.2655257129972,5.28729962355578e-20,1.08345494515786e-18,35.795596293399
"Anxa6",5.6216697728364,16.3044980545946,60.0151169151927,5.64299450603053e-20,1.08345494515786e-18,35.7384816111356
"Nefh",7.56509786671912,17.399316772633,55.7213586761583,1.8007377918442e-19,3.24132802531956e-18,34.7071286846954
"Hnrnpk",4.57577741868163,17.7743360304448,54.4421287939896,2.588498026838e-19,4.3852201866432e-18,34.3796050892321
"Copz1",6.78968959397897,17.2381494262468,62.7068649197138,2.87230414032643e-19,4.59568662452229e-18,34.0914587483891
"Cct8",4.24555155214292,17.7849816260366,53.2808544200681,3.62510997568959e-19,5.4949035420979e-18,34.0736026828916
"Fus",4.28709767250657,16.9344603222452,52.950159199858,3.99533154090264e-19,5.7532774188998e-18,33.9849026117674
"Psmc3",7.66172288823388,16.880189339386,52.6403057292623,4.37885289345118e-19,6.00528396816162e-18,33.9011518857254
"Eif4b",4.5885309135695,17.1724707224799,51.8675093752304,5.51648095231389e-19,7.22157506484727e-18,33.689524379746
"Avil",7.11972135743655,16.7912989843654,51.2939794712103,6.56237695630274e-19,8.1611403518341e-18,33.5298790998357
"Epb41l3",7.68488805449397,16.0806363622233,51.176793121135,6.80095029319508e-19,8.1611403518341e-18,33.4969837105197
"Ran",4.17703433255677,14.8377359854849,51.0399650377288,7.09123548491286e-19,8.16910327861961e-18,33.4584550217679
"Pcbp1",5.0431885761249,16.3299160717433,50.8010672650999,7.63011243015029e-19,8.23643756429797e-18,33.3908741658786
"Tpd52l2",6.39265560202277,16.5639821430998,50.7622701997333,7.72166021652935e-19,8.23643756429797e-18,33.3798615086962
"Map2",5.80739308068797,16.8428209594691,50.2760241341288,8.97351859289709e-19,9.22990483840843e-18,33.2409420192686
"Atp5f1b",4.5494923075864,16.1837734591006,49.9039720393987,1.00765793290854e-18,9.89286595452607e-18,33.133512837291
"Sart3",4.65051341363173,15.723701477661,49.3298766288021,1.20708752945487e-18,1.08637877650938e-17,32.9657794153333
"Rpl14",6.80236373117952,17.2495542562743,57.4064914587609,1.04689745623292e-18,9.89286595452607e-18,32.9648449253254
"Myh9",3.50953386982582,16.5086720714999,48.9276578678467,1.37158846802796e-18,1.18139897686839e-17,32.8468186145104
"Map4",3.61279847102263,19.8367134925727,48.8752751907807,1.39470712546963e-18,1.18139897686839e-17,32.83123709682
"Clic1",8.29771985617456,16.8594392525989,57.3398285612556,1.0648570992719e-18,9.89286595452607e-18,32.8075405063541
"Atp5f1a",4.4720521273072,16.2461573957164,48.4425911987804,1.60228562888846e-18,1.31845217462822e-17,32.7017418514956
"Nefm",6.94128907389213,18.0101444174028,47.8670829944184,1.9307045694871e-18,1.54456365558968e-17,32.5272850227199
"Efhd2",5.710394341809,16.4157967082825,47.7083650321769,2.03337312518803e-18,1.58273367582203e-17,32.4787200871649
"Clasp2",3.7081525104113,14.7580573574423,47.3086050437368,2.31856687399117e-18,1.75722963081436e-17,32.3555218775412
"Add1",4.24435615519747,15.6845820144613,46.7461779193174,2.79400537901394e-18,2.06326551065645e-17,32.180031682953
"Spag9",4.8671368664605,15.9069708782158,45.5090406239943,4.24474375857883e-18,2.92922393416614e-17,31.7848623152154
"Vwa5a",5.07171056674068,17.2795436487442,45.4900760849859,4.27241459732653e-18,2.92922393416614e-17,31.7787042605354
"Nacad",6.18593227952048,16.7868882970322,45.4218932592833,4.37349406837306e-18,2.92922393416614e-17,31.7565388477333
"Crip2",5.2576615055663,18.2732247428843,52.1969002641465,4.21202739937938e-18,2.92922393416614e-17,31.7137958067901
"Sf3b1",3.79213205440547,15.4832866883879,44.5382611793368,5.94036552828805e-18,3.88823925487945e-17,31.4656254747847
