"","Gene","Condition","Type"
"1","Prph","Ox","B"
"2","Rtn4","Ox","B"
"3","Synm","Ox","B"
"4","Cend1","Ox","B"
"5","TurboID","Ox","B"
"6","Sart3","Ox","B"
"7","Tardbp","Ox","B"
"8","Mapt","Ox","B"
"9","Map6","Ox","B"
"10","Rtn1","Ox","B"
"11","Ran","Ox","B"
"12","Akap12","Ox","B"
"13","Map1a","Ox","B"
"14","Tppp3","Ox","B"
"15","Map1b","Ox","B"
"16","Nefh","Ox","B"
"17","Map2","Ox","B"
"18","Eps15l1","Ox","B"
"19","Anxa6","Ox","B"
"20","Pcbp2","Ox","B"
"21","Dync1li2","Ox","B"
"22","Eif4b","Ox","B"
"23","Clic1","Ox","B"
"24","Copz1","Ox","B"
"25","Cct8","Ox","B"
"26","Eef1a2","Ox","B"
"27","Hnrnpk","Ox","B"
"28","Eif4g1","Ox","B"
"29","Mtdh","Ox","B"
"30","Psmc3","Ox","B"
"31","Avil","Ox","B"
"32","Tpd52l2","Ox","B"
"33","Dctn2","Ox","B"
"34","Nacad","Ox","B"
"35","Nefm","Ox","B"
"36","Atp5f1b","Ox","B"
"37","Efhd2","Ox","B"
"38","Epb41l3","Ox","B"
"39","Rpl14","Ox","B"
"40","Ncl","Ox","B"
"41","Fus","Ox","B"
"42","Spag9","Ox","B"
"43","Pcbp1","Ox","B"
"44","Add2","Ox","B"
"45","Esyt1","Ox","B"
"46","Eef1d","Ox","B"
"47","Map4","Ox","B"
"48","Nefl","Ox","B"
"49","Dctn4","Ox","B"
"50","Atp5f1a","Ox","B"
"51","Rpl4","Ox","B"
"52","Fubp1","Ox","B"
"53","Arhgdia","Ox","B"
"54","Srrm2","Ox","B"
"55","Elavl4","Ox","B"
"56","Pygb","Ox","B"
"57","Washc2","Ox","B"
"58","Lasp1","Ox","B"
"59","Rps6","Ox","B"
"60","Set","Ox","B"
"61","Nono","Ox","B"
"62","Stx7","Ox","B"
"63","Clasp2","Ox","B"
"64","Myh9","Ox","B"
"65","Tuba4a","Ox","B"
"66","Eps15","Ox","B"
"67","Pcbp3","Ox","B"
"68","Sec22b","Ox","B"
"69","Atxn2l","Ox","B"
"70","Vwa5a","Ox","B"
"71","Rpsa","Ox","B"
"72","Pdap1","Ox","B"
"73","Amph","Ox","B"
"74","Pcnp","Ox","B"
"75","Gmds","Ox","B"
"76","Hnrnpa2b1","Ox","B"
"77","Tom1l2","Ox","B"
"78","Hnrnpa3","Ox","B"
