"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gfra1",-2.46196742496332,14.4103080685357,-26.6346610140091,5.42748167872509e-14,2.37727410833183e-10,21.9512459377443
"Gpc1",-1.91702351887356,15.1582255965322,-26.3049259010395,6.51208383126026e-14,2.37727410833183e-10,21.7950442446756
"Mybbp1a",-1.53143469202406,15.5902538008003,-25.6543036210188,9.3901544766234e-14,2.37727410833183e-10,21.4790320013722
"Hk2",-1.93211235429169,15.274013526243,-23.0949225357239,4.34309084370513e-13,8.24644373948512e-10,20.1265758637518
"Plxna4",-1.63277615912821,14.134299994222,-22.5569419149692,6.11642895210047e-13,9.29085557824062e-10,19.817997640798
"P4ha2",-1.89249105152437,13.8229296611077,-22.1714992519536,7.85441868063565e-13,9.94238497990463e-10,19.5912567801331
"Vgf",-2.19289726999742,16.7260680738191,-21.6852534303407,1.08320069365876e-12,1.17527275261976e-09,19.2982311968246
"Plin2",-1.78226382605673,14.5891759651257,-21.1995261395536,1.50359570462355e-12,1.42747617207698e-09,18.9974533640366
"Ddx21",-1.39425304056754,15.8991216146622,-18.9693038047047,7.46419629123221e-12,6.29895231465652e-09,17.5034399316066
"Map7d1",-1.56665109219038,16.3161699643907,-18.7507114003455,8.81510970537884e-12,6.69507582123523e-09,17.3461675711857
"Nes",-1.91000132280546,17.2486777943502,-18.2641421166596,1.28490326174434e-11,8.87167297540748e-09,16.9885377352932
"Spp1",-2.56737805511733,14.7904225736602,-17.2462105249439,2.9146099269885e-11,1.84470519962314e-08,16.2048393666737
"Kcnj10",1.72052416907583,14.9796538162345,17.1000024805155,3.29032231186673e-11,1.92230753527906e-08,16.0881243326787
"Tnc",-1.84472823558834,16.5046669305584,-16.9274457525422,3.80115107519036e-11,2.06212445829077e-08,15.948977909096
"Nrcam",-1.47092391411306,14.4490225258042,-16.7678191482064,4.34924144108893e-11,2.20216591633803e-08,15.8188901920373
"Ank2",-1.16776427867847,16.051012003991,-16.4396256628911,5.7582003954419e-11,2.73334575021133e-08,15.5472112055155
"Sema7a",-1.65677919231512,13.6680078435033,-16.108479194453,7.68247139570198e-11,3.41723861166229e-08,15.2671826688472
"Fos",2.35367245222941,13.6742298326166,17.3372125324237,8.09878801973947e-11,3.41723861166229e-08,15.2004451193182
"Nptx1",-1.24306240111746,15.8778460767006,-15.8338744662915,9.79718646780987e-11,3.58970233390938e-08,15.0303308419928
"P4ha1",-1.37913409399297,15.8514795322699,-15.8283950874056,9.84521344693753e-11,3.58970233390938e-08,15.0255611321437
"Upp1",-1.5099228667377,14.193148075418,-15.8193046812305,9.92544424122408e-11,3.58970233390938e-08,15.017644279864
"Gpr158",-1.46864257479274,13.9261360975075,-15.5432310673515,1.27253369124184e-10,4.20377398912157e-08,14.7749293656844
"Adamts4",-1.29505330145916,13.7369592507664,-15.542799272258,1.27303228110331e-10,4.20377398912157e-08,14.7745462520159
"Ybx3",-1.58907359161795,15.8963142471101,-15.4584278841519,1.37455694479438e-10,4.34989999821388e-08,14.6994751792486
"Mthfd2",-1.30090542587043,14.688021745426,-15.2059371399568,1.73325104024246e-10,5.2656166602566e-08,14.4722693050412
"Maged1",-0.974528246725386,15.3477476562804,-15.1597660031886,1.80898835489529e-10,5.28433329054991e-08,14.4303034935993
"Esd",-1.16688612255437,18.1240531330088,-14.6302597700014,2.9792222968501e-10,8.08114048020589e-08,13.93951438664
"Sprr1a",-3.40558444680044,16.3856399700959,-17.1066602143759,2.966985821036e-10,8.08114048020589e-08,13.8780078689482
"Poldip3",-0.973650384372823,14.6170865608324,-14.3979439829358,3.72689262395577e-10,9.76060326860141e-08,13.7185083852018
"Ldha",-0.923374054320888,20.4948820646519,-14.2310256870296,4.38598444924133e-10,1.11038506306626e-07,13.5575092638946
"Lgals3",-2.31913777152905,16.8686832440964,-13.6838891632571,7.56913367738553e-10,1.85443775095945e-07,13.0164009195155
"Slit1",-0.944080352921393,14.7509987122101,-13.5340732969132,8.81783917463612e-10,2.07340407398835e-07,12.8645508510123
"Sec23b",-0.85254414148077,15.2266758387498,-13.5131588148961,9.00886562759914e-10,2.07340407398835e-07,12.8432231427568
"Timp1",-2.77323254698799,15.3150221570394,-14.3153814646405,1.01882265826979e-09,2.21084516844545e-07,12.7680680722942
"Rsl1d1",-1.48594467116741,14.8637741777844,-13.4393267100443,9.71914464387143e-10,2.17108539912363e-07,12.7676768424251
"Dnmt1",-1.22566331984155,14.0814233228508,-13.3621813937894,1.05252191482322e-09,2.22052887307843e-07,12.6883124935284
"Ugdh",-1.57720627613255,15.6948488249138,-13.2727050182608,1.15499464181533e-09,2.37086062286146e-07,12.5957099068784
"Cntn2",-0.893095873108742,15.5244807195248,-13.2057680010798,1.23855969280421e-09,2.45156258547374e-07,12.5260429196949
"Sez6l",-1.98121463952961,13.364437796467,-15.1855952854152,1.29114553547004e-09,2.45156258547374e-07,12.5174712743266
"Ubr2",-0.875589177409289,15.6037244909645,-13.1785919712608,1.27429800012136e-09,2.45156258547374e-07,12.4976623258163
"Ppp1r18",-0.825721567813638,15.5306471906898,-13.1149417550681,1.36235762561202e-09,2.46991212421486e-07,12.4309721301652
"Pgk1",-0.888607316804418,20.3710328391847,-13.1125082507695,1.36585002260729e-09,2.46991212421486e-07,12.4284162953814
"Aars1",-0.821497761539547,18.3678915941016,-13.0455323839684,1.46579712412185e-09,2.58900678086173e-07,12.3578962812277
"Ddx5",-0.793368287079659,17.6020367741545,-12.9830131034813,1.56611896384951e-09,2.70333489328115e-07,12.2917583950565
"Flrt3",-1.43434128054106,15.4301719870695,-12.9154134045287,1.68284577028352e-09,2.84026969451185e-07,12.219906501834
"Hmox1",-1.77890390548069,14.8416513764198,-12.8619616098265,1.78167303506615e-09,2.94169710898421e-07,12.1628410169546
"Ndel1",-0.757429296936014,14.775940236596,-12.6912482809492,2.14076136586088e-09,3.38024697553683e-07,11.9790833986698
"Pxdn",-1.59122573323651,14.133330725702,-12.6757109978136,2.17706052672207e-09,3.38024697553683e-07,11.9622442530259
"Daam2",0.93912509104457,14.6260200460771,12.6741241125649,2.18080450034634e-09,3.38024697553683e-07,11.9605233193063
"Akr1b7",-1.66828671617929,16.2444995084924,-12.5530666150128,2.48757731591007e-09,3.77862994286739e-07,11.8286444945989
"Htra1",-0.980951721642416,17.8570341765117,-12.3948429889023,2.95927600382046e-09,4.40239659828635e-07,11.654487202224
"Lrrfip1",-1.56109192262675,13.3542468744318,-12.3504351756992,3.10809675366168e-09,4.40239659828635e-07,11.6052384944997
"Plod1",-1.01689234892299,14.6352151886871,-12.345770349346,3.12418431611297e-09,4.40239659828635e-07,11.6000556998619
"Rrm1",-1.07247703060007,13.1241764668244,-12.3440677936052,3.13007789739911e-09,4.40239659828635e-07,11.5981636488197
"Erc1",-0.736218377881396,14.693318056932,-12.3242522622379,3.19954570268525e-09,4.41828174761717e-07,11.5761249762097
"Plod3",-0.952625563657994,15.0019863305604,-12.2375308771225,3.52338617207426e-09,4.77309166217749e-07,11.4792899126909
"Irs2",-0.993749607126251,16.8458505172292,-12.2105959873111,3.6309098468381e-09,4.77309166217749e-07,11.4490858579934
"Zc3hav1",-0.834006292577019,14.8829782402376,-12.2047075577788,3.65487681462508e-09,4.77309166217749e-07,11.4424746192278
"Rbfox3",0.733191219400103,14.9955978442483,12.1918328357172,3.70786580735315e-09,4.77309166217749e-07,11.4280093571351
"Arhgef2",-1.0410546528466,14.1689374106679,-12.1614466847747,3.83618548124071e-09,4.85597145500386e-07,11.3938139319663
"Polr2a",-0.772318170201464,14.8559235503915,-12.0562354095622,4.31814197141493e-09,5.3267742036403e-07,11.2748088404734
"Ret",-1.11562301055315,15.9296372191932,-12.0500538881865,4.34838710501249e-09,5.3267742036403e-07,11.2677875650228
"Peak1",-1.07421140687433,13.8917505711116,-12.0043398476835,4.57915432595574e-09,5.5204249374022e-07,11.2157617075475
"Pecam1",-1.17469217782504,14.3846160230761,-11.9250539541948,5.01074410869497e-09,5.94634398524036e-07,11.1251021358513
"Hmga1",-1.39832722900668,17.0721465866824,-11.8644732763528,5.36951494146544e-09,6.27407168929693e-07,11.055463883838
"Rps19bp1",-1.83836021199131,12.6216882018786,-11.8343116337561,5.55820589561643e-09,6.39614754200103e-07,11.020673340647
"Mmp14",-1.30821390434496,13.3571695662833,-11.8118167291862,5.7035060314959e-09,6.46539228495691e-07,10.9946742755031
"Madd",-0.722772171848398,14.488772066299,-11.7487311943755,6.13289440650314e-09,6.69329813429046e-07,10.9215240941013
"Rab9b",0.733735709922302,15.1135128687571,11.7375962743658,6.21217852234927e-09,6.69329813429046e-07,10.9085762337333
"Nop2",-1.02552998256106,14.0957121475967,-11.7330649001072,6.2447538068201e-09,6.69329813429046e-07,10.9033039377325
"Plekha1",-0.757473040303735,13.7942847629074,-11.7177932937674,6.35587924136742e-09,6.69329813429046e-07,10.8855218786884
"Appl2",-0.768659594993133,14.803775215555,-11.7151756818218,6.375136134716e-09,6.69329813429046e-07,10.8824718884172
"Map6",-0.80965067599967,17.1662562365081,-11.6893691626951,6.56833137879019e-09,6.69329813429046e-07,10.8523700469557
"Nol7",-1.25542873482989,13.3925740309885,-11.6837395072564,6.61129571901116e-09,6.69329813429046e-07,10.8457955003033
"Bicd2",-0.732442764279673,14.3754548844166,-11.6824134279382,6.62145937269126e-09,6.69329813429046e-07,10.8442464386884
"Abca1",-0.808506270590344,15.0170323670558,-11.6648710622966,6.75748202247619e-09,6.69329813429046e-07,10.8237395411747
"Micall2",-1.03689214824132,13.6570085493591,-11.6574479961635,6.81592934545322e-09,6.69329813429046e-07,10.8150537613483
"Nsun2",-0.655932003262954,15.7350280447693,-11.6501443300246,6.87395990091713e-09,6.69329813429046e-07,10.8065028868233
"Kif5a",0.856282541993552,16.3536593573618,11.5717862991926,7.53056236283336e-09,7.23982546148346e-07,10.714463143344
"Ldlr",-1.00274461865182,15.4611202219158,-11.5520646718158,7.70608259455875e-09,7.31596216320921e-07,10.6912109596993
"Ube4b",-0.95665870546145,15.5163993550684,-11.4573175308888,8.61192025139802e-09,8.07500423572444e-07,10.5790105717329
"Cttn",-0.893401868017932,17.4347423464974,-11.4286810005043,8.9074149398653e-09,8.16870606411663e-07,10.5449379147161
"Tnfrsf21",-0.990832441113968,13.6759861975725,-11.4268225287617,8.92695988573641e-09,8.16870606411663e-07,10.5427240507942
"Cmip",-0.718402657733456,14.4442236100519,-11.2945495023925,1.04418189766726e-08,9.44114465807478e-07,10.3843393831566
