"","CD4_naive","CD8_naive","Cytotoxic","Exhausted","Tr1","nTreg","iTreg","Th1","Th2","Tfh","Central_memory","Effector_memory","NKT","MAIT","DC","Bcell","Monocyte","Macrophage","NK","Neutrophil","Gamma_delta","CD4_T","CD8_T","InfiltrationScore","sampleID"
"X144_DRG_T_f_1",0.219,0.033,0,0.11,0.002,0,0.376,0.355,0.116,0.065,0.232,0.037,0.153,0.184,0.005,0.086,0.032,0.007,0.007,0.064,0.067,0,0.361,0.426,"X144_DRG_T_f_1"
"X145_DRG_T_m_4",0.217,0.027,0,0.106,0.005,0,0.377,0.349,0.113,0.061,0.229,0.033,0.146,0.178,0,0.164,0.025,0,0.001,0.058,0.062,0,0.353,0.424,"X145_DRG_T_m_4"
"X147_DRG_T_m_2",0.218,0.027,0,0.107,0.001,0,0.376,0.347,0.113,0.061,0.228,0.033,0.146,0.178,0.001,0.163,0.025,0.001,0.001,0.058,0.062,0,0.355,0.423,"X147_DRG_T_m_2"
"X148_DRG_T_m_1",0.217,0.034,0,0.11,0.003,0,0.379,0.349,0.12,0.067,0.233,0.034,0.152,0.18,0.006,0.099,0.031,0.004,0.006,0.065,0.071,0,0.357,0.426,"X148_DRG_T_m_1"
"X149_DRG_T_f_3",0.216,0.027,0,0.107,0.001,0,0.376,0.35,0.113,0.061,0.228,0.034,0.148,0.174,0.001,0.162,0.025,0.001,0,0.058,0.064,0,0.355,0.423,"X149_DRG_T_f_3"
"X152_DRG_T_f_4",0.221,0.046,0,0.118,0.007,0,0.379,0.36,0.126,0.075,0.237,0.039,0.159,0.196,0.015,0.095,0,0.017,0.016,0.078,0.078,0,0.294,0.433,"X152_DRG_T_f_4"
"X156_DRG_T_f_2",0.216,0.027,0,0.107,0.001,0,0.377,0.349,0.113,0.061,0.227,0.033,0.151,0.178,0.001,0.162,0.025,0.001,0.002,0.056,0.062,0,0.355,0.424,"X156_DRG_T_f_2"
"X164_DRG_T_m_3",0.218,0.033,0,0.111,0.002,0,0.376,0.349,0.116,0.065,0.232,0.034,0.149,0.18,0.004,0.168,0.031,0.006,0.005,0.065,0.069,0,0.287,0.424,"X164_DRG_T_m_3"
"X207_LSC_T_m_2",0.233,0.174,0.016,0.158,0.015,0,0.395,0.247,0.149,0.107,0.144,0,0.143,0.145,0.008,0.094,0.036,0.03,0.016,0.093,0,0.101,0.28,0.438,"X207_LSC_T_m_2"
"X211_LSC_T_f_3",0.239,0.187,0.03,0.166,0.018,0.004,0.399,0.138,0.162,0.123,0.112,0,0.157,0.161,0.021,0.104,0.051,0.044,0.033,0.102,0.008,0.112,0.283,0.45,"X211_LSC_T_f_3"
