"","Gene","Median"
"Aak1","Aak1",15.084281313047
"Aars1","Aars1",14.5850599979044
"Abcd3","Abcd3",12.9715726636352
"Abhd10","Abhd10",13.8141758405634
"Abhd12","Abhd12",12.3630834472081
"Abi1","Abi1",13.815183376229
"Ablim1","Ablim1",14.6827210753429
"Ablim2","Ablim2",14.512500725675
"Abr","Abr",14.2686335042932
"Acaa2","Acaa2",14.1448869055013
"Acadvl","Acadvl",14.498322360901
"Acbd5","Acbd5",12.9955435977793
"Acly","Acly",13.6550273154404
"Acot1","Acot1",13.2918757550336
"Acot9","Acot9",13.2567379777819
"Acp1","Acp1",13.6442542814825
"Actb","Actb",16.0049247864468
"Actr10","Actr10",12.7165734502695
"Actr2","Actr2",13.7753230525712
"Add1","Add1",15.7556404625819
"Add2","Add2",16.5388662183316
"Afdn","Afdn",14.1968533399721
"Agap3","Agap3",13.0587935106365
"Agfg2","Agfg2",12.926477617616
"Ahsa1","Ahsa1",15.2411608308771
"Ahsa2","Ahsa2",13.0081773359371
"Aip","Aip",12.5634537516774
"Ak2","Ak2",14.3114039474218
"Akap12","Akap12",18.0547713737263
"Alkbh3","Alkbh3",13.1442168464059
"Ampd2","Ampd2",14.6066646697289
"Amph","Amph",13.9788844871036
"Ank1","Ank1",14.9031642248699
"Ank2","Ank2",17.1154420000233
"Ank3","Ank3",15.6981477857358
"Ankrd13d","Ankrd13d",13.595664797613
"Anp32a","Anp32a",15.7034415442665
"Anxa11","Anxa11",15.9806255276501
"Anxa6","Anxa6",15.9459595595629
"Ap2b1","Ap2b1",13.4010957976366
"Ap2m1","Ap2m1",11.7526364446892
"Ap3b2","Ap3b2",14.6808633540255
"Ap3d1","Ap3d1",14.4892263760086
"Ap3s1","Ap3s1",14.3788549567136
"Apoa4","Apoa4",13.1619229856913
"Aqp1","Aqp1",14.3135703967186
"Aqp5","Aqp5",13.82964346395
"Araf","Araf",15.1537263138463
"Arap1","Arap1",13.4647830339887
"Arf5","Arf5",13.383631002557
"Arfgap1","Arfgap1",13.3238748193017
"Arfgap2","Arfgap2",14.2194677586204
"Arfgap3","Arfgap3",13.4565982934529
"Arfgef1","Arfgef1",13.3465608900736
"Arfgef3","Arfgef3",12.1230615844524
"Arfip2","Arfip2",13.1205458104493
"Arhgap1","Arhgap1",15.7221987612417
"Arhgap17","Arhgap17",14.5232248790593
"Arhgap21","Arhgap21",15.7137657160269
"Arhgap28","Arhgap28",14.2016555922432
"Arhgap44","Arhgap44",14.1245245774411
"Arhgdia","Arhgdia",15.5407611482399
"Arhgef18","Arhgef18",14.3468322540544
"Arl15","Arl15",14.4444815264673
"Arpc5","Arpc5",13.1194777670144
"Arpin","Arpin",14.3267558290639
"Asap1","Asap1",15.0627688317495
"Atg2b","Atg2b",14.1482728919907
"Atl1","Atl1",13.5701445004421
"Atp1a1","Atp1a1",16.2275310900855
"Atp1b1","Atp1b1",12.1140725379732
"Atp2a1","Atp2a1",13.1913825352838
"Atp2b1","Atp2b1",13.7086851634176
"Atp5f1a","Atp5f1a",16.0403637049883
"Atp6v1a","Atp6v1a",15.3827804812726
"Atp6v1b2","Atp6v1b2",12.6341924069655
"Atp6v1h","Atp6v1h",13.0518529788323
"Atp8a1","Atp8a1",12.2789702015307
"Avil","Avil",19.3465815409919
"Bag3","Bag3",15.5755605210525
"Basp1","Basp1",14.1456126491537
"Bcar1","Bcar1",12.407457647582
"Bcas3","Bcas3",15.6442634363774
"Bin1","Bin1",13.8495967398945
"Birc6","Birc6",14.9179907517356
"Blmh","Blmh",14.421487533262
"Brcc3","Brcc3",12.9814495497592
"Brd4","Brd4",13.3161400583249
"C2cd2","C2cd2",12.1747041444109
"C3","C3",12.8114910999326
"Cadm1","Cadm1",14.2102451128227
"Cadm3","Cadm3",13.4573810380321
"Cadps","Cadps",16.3934714079961
"Calm1","Calm1",15.5821734860851
"Calml3","Calml3",16.0211954553182
"Camk2d","Camk2d",14.7844743495862
"Camsap1","Camsap1",12.171570888607
"Camsap2","Camsap2",12.5446063148643
"Camsap3","Camsap3",13.398691697875
"Caprin1","Caprin1",13.3986973980504
"Capza2","Capza2",13.5971109612959
"Capzb","Capzb",15.5139113366775
"Caskin1","Caskin1",14.1552501512926
"Cav2","Cav2",13.866368025251
"Ccdc22","Ccdc22",14.0189130028849
"Ccs","Ccs",12.9878519859093
"Cct5","Cct5",12.9909920756647
"Cct8","Cct8",18.1061497007477
"Cd2ap","Cd2ap",14.4141887172949
"Cd44","Cd44",13.1897180203168
"Cdc37","Cdc37",14.1969496876403
"Cdc42bpb","Cdc42bpb",13.3961975690632
"Cdv3","Cdv3",12.9090003408248
"Cend1","Cend1",16.0868885271993
"Cep170","Cep170",17.3790578273386
"Cep170b","Cep170b",13.7708311041339
"Cept1","Cept1",12.2797306508361
"Cgnl1","Cgnl1",14.279376786078
"Champ1","Champ1",13.1245478521408
"Chmp3","Chmp3",14.7236769410877
"Chmp4b","Chmp4b",16.6452436767707
"Chmp7","Chmp7",13.1676533486756
"Chp1","Chp1",12.564742550148
"Ciapin1","Ciapin1",14.2958192499716
"Cisd1","Cisd1",14.8641571201863
"Ckap5","Ckap5",15.0928398990543
"Ckb","Ckb",13.1943650405839
"Clasp2","Clasp2",15.5405407847626
"Clic1","Clic1",15.3771399518581
"Clint1","Clint1",14.7965080217246
"Clip2","Clip2",13.4756735196326
"Cltb","Cltb",14.1473461040003
"Cltc","Cltc",14.1594339503962
"Clybl","Clybl",14.0200634714354
"Cndp2","Cndp2",13.2353166759959
"Cnn3","Cnn3",15.1763981458519
"Col16a1","Col16a1",12.8047431731033
"Col4a1","Col4a1",14.7150981989654
"Col4a2","Col4a2",13.5649853248494
"Col6a2","Col6a2",13.2218501775246
"Coro1a","Coro1a",13.8177663928093
"Coro1b","Coro1b",11.3838986544615
"Coro2a","Coro2a",12.248182572667
"Cox5b","Cox5b",13.8125583898531
"Cplx1","Cplx1",15.4955082479094
"Cpne3","Cpne3",14.5753064776697
"Cr1l","Cr1l",15.0773688408993
"Crip2","Crip2",17.6295668042516
"Crmp1","Crmp1",13.5508343951884
"Csde1","Csde1",13.5189341538923
"Csnk1a1","Csnk1a1",14.8670031952337
"Cstf2","Cstf2",13.2028011913632
"Ctbp1","Ctbp1",14.6122080329182
"Ctdsp2","Ctdsp2",13.6057225704035
"Ctnnd1","Ctnnd1",15.5026710426785
"Cul4b","Cul4b",12.8859471304909
"Cul5","Cul5",13.3465768741169
"Cyld","Cyld",12.6313489227611
"Cysrt1","Cysrt1",14.8775034274981
"Dclk1","Dclk1",13.3307616162564
"Dctn1","Dctn1",13.1219428871064
"Dctn2","Dctn2",14.4903369986925
"Dctn4","Dctn4",16.5337676179747
"Ddx17","Ddx17",12.748419903423
"Decr1","Decr1",12.2784784976835
"Dgkh","Dgkh",15.7681197158851
"Dgki","Dgki",14.5959350829647
"Dgkz","Dgkz",14.2966300936893
"Diras2","Diras2",16.2392038932635
"Dld","Dld",14.0695089509485
"Dmtn","Dmtn",15.8422353158703
"Dmxl2","Dmxl2",13.563431671902
"Dnajc6","Dnajc6",13.8031815286308
"Dnm1","Dnm1",13.8010805449211
"Dnm1l","Dnm1l",15.5307118489514
"Dnm3","Dnm3",13.8193703408684
"Dock11","Dock11",13.9287724076759
"Dock7","Dock7",14.6249506034761
"Dpp3","Dpp3",12.715627399632
"Dpysl2","Dpysl2",18.025349761335
"Dpysl3","Dpysl3",15.2341322296041
"Drg2","Drg2",13.2600960426006
"Dsc1","Dsc1",18.1187276027115
"Dst","Dst",15.4211429532385
"Dusp3","Dusp3",13.7271282225185
"Dync1h1","Dync1h1",13.7940908507027
"Dync1i2","Dync1i2",14.5247126140262
"Dync1li1","Dync1li1",15.4046184136557
"Dync1li2","Dync1li2",15.2334434660828
"Ecm1","Ecm1",16.2437560318452
"Efemp1","Efemp1",12.7254289543299
"Efl1","Efl1",13.343782550087
"Efr3a","Efr3a",12.9039797288223
"Ehbp1","Ehbp1",14.0201640379313
"Ehd1","Ehd1",14.0329280011609
"Ehd3","Ehd3",13.7996526386993
"Ehd4","Ehd4",13.2145425839987
"Eif4b","Eif4b",17.0676465834191
"Eif4g2","Eif4g2",14.5154537787937
"Eif4g3","Eif4g3",12.6050506690192
"Eif5","Eif5",13.540915056731
"Eln","Eln",14.7020472575617
"Elp4","Elp4",13.0494336929212
"Eml1","Eml1",14.0112011526469
"Enah","Enah",13.379938522486
"Epb41l1","Epb41l1",15.5481041808873
"Epb41l3","Epb41l3",18.5944937549739
"Epn2","Epn2",14.3277712519525
"Eps15","Eps15",15.8177095834162
"Eps15l1","Eps15l1",15.7717956027185
"Ermp1","Ermp1",13.4523500467451
"Esyt1","Esyt1",15.6041689789921
"Esyt2","Esyt2",13.9561173419907
"Etfa","Etfa",13.605576456874
"Ewsr1","Ewsr1",15.3628201184478
"Exoc3","Exoc3",13.0849922330265
"Exoc4","Exoc4",13.6646151103093
"Exosc5","Exosc5",12.6564941794153
"FAM120A","FAM120A",15.0315921833191
"Fam114a2","Fam114a2",14.2485740949934
"Fbln5","Fbln5",13.9003740844281
"Fbn1","Fbn1",19.3657879747084
"Fermt2","Fermt2",14.7927979016713
"Fga","Fga",14.5776209507341
"Fhl1","Fhl1",16.1500341085722
"Fkbp15","Fkbp15",14.5755986279708
"Flg","Flg",19.1962049268384
"Flot1","Flot1",14.6514404761673
"Flot2","Flot2",15.090798216769
"Fmn2","Fmn2",12.2524570996357
"Fmnl1","Fmnl1",13.7918923845582
"Fn1","Fn1",15.5855954942719
"Fnbp1","Fnbp1",13.9093311706098
"Fnbp1l","Fnbp1l",13.8889198550447
"Fry","Fry",11.6063100601667
"Fubp1","Fubp1",15.0247960086083
"Gab1","Gab1",13.2353390317366
