"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hspa4",-0.682874979907172,16.1333441055604,-10.1356863417236,6.76650505348359e-12,2.75938076081061e-08,16.5609300851401
"Arhgdia",-0.635724542655353,17.2035940361529,-8.34856856424094,8.32673939110446e-10,1.6978221618462e-06,12.1872994706442
"Rgs3",-0.673680625254722,16.3940001250138,-7.40105053414249,1.25310382838029e-08,1.70338580404494e-05,9.68062011402268
"Plp1",-0.950338559325523,19.0952300517431,-7.47738226361228,4.18552366784522e-08,3.41981897830367e-05,8.60211898377219
"Pebp1",-0.724459785413096,18.5397022247757,-6.98930244473853,4.19301002734634e-08,3.41981897830367e-05,8.55655987074633
"Ptges3",-0.650189731468803,14.809521796402,-7.11603690777544,6.99545228267471e-08,4.75457573479124e-05,8.11312835735052
"Timm44",0.486018042244439,17.5889153497692,6.5517958039992,1.53762759752954e-07,8.95777906103639e-05,7.34325369961418
"Jpt2",-0.638741636993128,15.7456426980919,-6.27708404360275,3.50067069438792e-07,0.000178446688646424,6.57334315113978
"Syngr3",-0.604240481175594,16.7696636034254,-6.36872514017104,6.19564883507447e-07,0.000280731732771485,6.08956721737234
"Tars1",-0.5610267551832,15.1021840636585,-5.95647862152499,1.02456865210321e-06,0.00041781909632769,5.57468322906606
"Snx9",-0.469875361190095,15.664507322516,-5.74372658766386,1.74641539367545e-06,0.000647443815946227,5.06666575937387
"Erh",-0.766554095663174,17.4676408388248,-9.9591020035565,2.25936558171503e-06,0.00065812091730242,5.00270206645859
"Acadvl",0.53880846273853,15.2568080249426,5.71240955990121,1.91970493987864e-06,0.000652379728735424,4.9779049561112
"Fth1",-0.808367213673328,14.206894790167,-5.6971257047143,2.21636577923017e-06,0.00065812091730242,4.85097390377679
"Gmds",-0.483735128614402,16.6398190854121,-5.61917940813561,2.54433560641058e-06,0.000671471376920726,4.713585782679
"Lasp1",-0.410898693810225,17.5154682556465,-5.60765383167599,2.63451251366641e-06,0.000671471376920726,4.68090363633492
"Cntnap2",-0.536704157859274,13.9765946436722,-6.37459844055499,3.5287850872671e-06,0.000846493269757367,4.58054142079653
"Stx7",-0.416560900513964,16.5400040339675,-5.48691892527746,3.79444525398356e-06,0.000859652652541386,4.33852975254451
"Tpgs2",-0.53263854744473,15.0497997045187,-5.42113953295448,6.67434202787979e-06,0.00143252456787862,3.84263833856471
"Pnpla8",0.3825608221987,15.1311496038001,5.97698922808453,8.27831234123638e-06,0.00153449807852554,3.78541804423006
"Rnf121",0.505991234722046,16.4564522223352,5.61391025510111,8.1253687000901e-06,0.00153449807852554,3.72527009931811
"S100a6",-0.619651628463224,15.836467663234,-5.29110592823357,7.43079199840042e-06,0.00151513848847385,3.71568551708622
"Ampd3",-0.47068499231457,15.4867249430076,-5.41606996512094,9.30850050676145e-06,0.00165043761159014,3.56110730128579
"Ass1",-0.421427184765477,14.4468031942911,-5.22907304732248,1.39529871652589e-05,0.00227601126639703,3.17020307642512
"Birc6",0.344085996958519,16.1395838344572,5.06612836571167,1.3505367773005e-05,0.00227601126639703,3.14730768335094
"Sptb",0.436824272064779,14.6737242134463,5.65063510660355,1.69116109102397e-05,0.00228201518460093,3.11646277041138
"Kif3b",-0.33987203764435,15.577731692141,-5.21702588201918,1.59600745162824e-05,0.00228201518460093,3.05478438148205
"Ppp1r7",-0.436213278361878,14.0713741562973,-5.61876164213236,1.81456750407615e-05,0.00228201518460093,3.05038975947766
"Parvb",-0.442708390975174,14.041665695634,-5.34181649149515,1.84774929601929e-05,0.00228201518460093,2.96764544211804
"Clic1",-0.682325090774402,17.3656715740194,-5.00227226118616,1.63652223173457e-05,0.00228201518460093,2.96717374433426
"Abhd10",0.421154947140474,15.4542929615918,4.98756806402038,1.71047238142253e-05,0.00228201518460093,2.92572986243117
"Tardbp",-0.467792894220153,16.9466658271863,-4.98591345323753,1.71899878683399e-05,0.00228201518460093,2.92106721451566
"Scrn1",-0.344310766034997,14.9364875386291,-5.1522514427405,1.90261197342893e-05,0.00228201518460093,2.88973937049029
"Ank3",0.342992536840249,17.2268418094976,4.9641238508101,1.83530155850843e-05,0.00228201518460093,2.85968182627261
"Rpl30",-0.5367072590833,14.931468611813,-5.12135658881724,2.28971897698239e-05,0.00266784971089548,2.72718431612897
"Eif4e3",-0.857400144081478,13.926505135364,-5.69159212121844,2.89847357903456e-05,0.00310303731531067,2.67461972670005
"Cmas",-0.690026134289678,15.5617935494607,-5.37071395759358,3.1511553721733e-05,0.00321260290193068,2.53200511790611
"S100a13",-0.612443201326407,15.312053190899,-5.00874787513037,2.80897532360379e-05,0.00310303731531067,2.52381860291524
"Sync",-0.462645387583928,14.941675548892,-4.99293367128393,2.93224729235023e-05,0.00310303731531067,2.48348078663073
"Map6",0.296526806937678,21.1037768254023,4.80385507348188,2.96759331282776e-05,0.00310303731531067,2.40927317098652
"Tln1",0.312795230065127,16.1286151822321,4.76140029508038,3.36933930156819e-05,0.00335125991995002,2.29032975669458
"Rpl13",-0.547814870063931,15.2990929928298,-4.76800997229793,3.51160693433697e-05,0.00340960311386337,2.25909073388548
"Cacng5",-0.789872990927757,14.208217456601,-7.30415418992052,5.74926155394488e-05,0.00521010858155271,2.22528987238236
"Clgn",-0.501569407190097,14.7296506834968,-5.12829316890475,5.43719044123626e-05,0.00503928695894579,2.018762324509
"Hint1",-0.803785624238699,15.8923072944356,-4.89395742575117,5.10639390501877e-05,0.00484276147550384,1.99833509292981
"Kct2",-1.09712162351351,14.6708009645916,-7.00757777742589,7.83903964238779e-05,0.00652400074727702,1.95911711484734
"Ptms",-0.671328218972278,17.7569309792798,-6.43529633472305,8.98758835319231e-05,0.00733027706086365,1.84605300883103
"Slc26a11",-0.521781945576,14.146808454892,-6.3858843728634,9.55458887319946e-05,0.00749672090105316,1.79002736759409
"Ube2m",-0.40239270078018,16.985606821077,-4.69954666986313,6.50444454257677e-05,0.00573608066272753,1.73544413531856
"Mycbp",-0.581255505958556,15.9356229139955,-6.33690304408369,0.000101550667237751,0.00767970509045269,1.73411767674958
"Dync1h1",0.246639525973947,15.3739016358125,4.53506188613151,6.61098065591452e-05,0.00573608066272753,1.65944684728054
"Arpin",-0.373290685067072,16.0979569238947,-4.51274207070339,7.0632192359676e-05,0.00600079334255748,1.59757018683432
"Bnip3l",-0.725967635839748,14.4336154736846,-6.21024867727889,0.000119056240855173,0.00851774298609467,1.58781667780095
"Lrrn1",0.499854321635169,15.6206652992723,6.10573754665624,0.000135965745721594,0.00927384895575632,1.46519637512759
"Asph",-0.927677232894069,12.905660270209,-7.05438785696505,0.000136327148894284,0.00927384895575632,1.39051094067475
"Tmx2",-0.397976995543594,15.8179411138789,-4.53472565125559,0.000101693005121247,0.00767970509045269,1.31621366700954
"Ttc1",-0.557293355074869,16.6944994939721,-4.41039971663759,9.55933023184808e-05,0.00749672090105316,1.3147401679255
"Panx2",0.449503178964152,14.6282345776583,4.79778555129564,0.00011535013816546,0.00848446732208632,1.31015060028904
"Chkb",-0.405426827251498,14.1064855904046,-4.69108495674765,0.000116510586080636,0.00848446732208632,1.26593424860768
"Cdk2ap1",-0.553413301383355,14.8686089167017,-5.92697308808894,0.000171214987677464,0.0102704458109447,1.25143072617784
"Ryr2",0.56862816820075,14.7909096521148,4.48078293690152,0.000136447017495189,0.00927384895575632,1.06257970128402
"Bri3bp",-0.540728356373947,15.7482789498994,-5.73797196514913,0.000219493239539239,0.0127870490120145,1.01982907500804
"Cpt1c",0.50141152769983,14.9438554834465,4.46093564512901,0.000143727293298422,0.00935005257853496,1.01380474893811
"Tmx4",-0.550436207740105,15.6051183969687,-4.64291060592893,0.000164548204540603,0.0101670845169179,0.975286084530227
"Rgs10",-0.572455466863273,13.803285180791,-4.68141947556093,0.000171258046872055,0.0102704458109447,0.957085651668256
"Impact",-0.532841162913854,15.6843884454195,-4.28946901899482,0.000142788551245058,0.00935005257853496,0.947050811700332
"Synm",0.352824031800004,20.0773023173849,4.27000965150609,0.000144446619040633,0.00935005257853496,0.929392117523173
"Pdlim1",-0.479331970127024,15.6658266503052,-4.26031699971879,0.000148606654689759,0.00946903027851309,0.902909991496249
"Basp1",-0.44899168729355,16.4847097484631,-4.24934537642644,0.000153457650133257,0.00962769688066806,0.872953649437279
"Misp",-0.459784740665576,14.0303036252069,-5.61940339653204,0.000257148476105693,0.0141709660210678,0.871567405608357
"Ctps1",-0.361681891785647,15.2127069614457,-4.33002243318747,0.000176854003426146,0.0104523279126351,0.797687808837074
"Ncbp2",-0.501124881372501,16.9367332286835,-5.5549660872045,0.000280484552377144,0.0147867743500139,0.790026672876446
"Rbbp4",-0.492919279381351,14.1730690383207,-5.48788521725181,0.000307219831833707,0.0154671910397266,0.704414970129919
"Dhrs13",-0.439844964224655,15.3110795093944,-5.4568430289838,0.000320508560207012,0.0155599274824309,0.664546419931646
"Phf5a",-0.533604300626955,15.8003012897678,-5.44097020062642,0.00032754121967252,0.0157142716920533,0.644098941041225
"Sod1",-0.583706106967757,16.3626070525648,-4.23290585129898,0.000229735218292985,0.0131952143689971,0.55285858639582
"Hsph1",-0.444450988286082,16.493590914645,-4.12752899902155,0.000237978422101999,0.0134788334073882,0.477797357351571
"Txnl4a",-0.412292252970772,13.9249661020701,-5.31300737666554,0.000390682128735458,0.0177022413442577,0.477735112487363
"Pfdn5",-0.675293071057947,13.796863594571,-4.44452724523683,0.000291167723903146,0.0149273269897048,0.456339682066677
"Eif3g",-0.470125139130026,15.8552276862703,-4.08907850582316,0.000244782706577327,0.013674299690717,0.43795920213992
"Naa50",-0.54358355498303,14.7302461368474,-4.39284375656652,0.000292836233245803,0.0149273269897048,0.431982089472532
"Pfdn2",-0.563939956121551,15.6106634171862,-4.18141325266432,0.000263836713985111,0.0143456815950837,0.423424579991356
"Stxbp5l",0.333846492973452,15.5982065047241,4.1555215692873,0.000282826973835479,0.0147867743500139,0.358450776066767
"Efhd2",-0.345641000404196,16.9920536028665,-4.05822848946787,0.000267664882421651,0.0143623340857302,0.354819003433389
"Pirt",-0.535834677102251,14.8791526638139,-5.21770945328026,0.000446164244909723,0.0193559339440622,0.352077855386422
"Ptma",-0.667668984564735,15.0713778927212,-4.69223967301488,0.000373398527728919,0.0171092044503206,0.349675193930995
"Uba2",-0.379946439201849,15.8579449322863,-5.15992370719626,0.000483881731911658,0.0196136550588859,0.27515057704899
"Abhd2",0.430634642654425,13.6223877727361,5.15715571023,0.00048577223171836,0.0196136550588859,0.271451803632384
"Adsl",-0.565992199991229,15.0322499629069,-4.11942724698501,0.000311570334057004,0.0154949246620057,0.268002510568798
"Tex264",-0.440678383606276,14.4977668109404,-4.30972300868313,0.000354884480992667,0.0164456694714556,0.250919976687088
