"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sprr1a",2.70804905537133,17.2429618228555,10.2167642477878,4.36762245771911e-12,1.24826649841612e-08,17.3752418220383
"Pdhb",0.778772090849737,14.6392543531707,12.0460904572152,1.04743772275159e-10,1.49678850581202e-07,14.3744041757727
"Vps26c",-0.822732855586265,14.8780326897448,-9.60081550215848,2.10588132024179e-10,2.00620293775035e-07,13.7497125365882
"Gapdh",0.693234472952582,16.6645877392533,8.52160597388895,4.35714620602798e-10,3.05684138014942e-07,13.0015631299493
"Bag3",-0.487512558801004,18.0712799077684,-8.44914830781783,5.34786805484503e-10,3.05684138014942e-07,12.8056358418706
"Plcb3",-0.537772285909199,16.2735362472912,-7.86770673566313,2.83156503288524e-09,1.32124088715151e-06,11.2086985585389
"Timm44",0.494058868212413,17.5889153497692,7.82170303452669,3.23606935271539e-09,1.32124088715151e-06,11.0805456554428
"Atp5mf",0.822749042109475,17.2698075301745,12.2456778170842,5.6509160515683e-09,2.01878975942278e-06,10.6749854054401
"Rpl30",0.715381211344416,14.931468611813,8.18261657896086,7.9819974823198e-09,2.53472764494111e-06,10.3067896112156
"Lgi1",1.13358925993994,15.3985426072364,11.3961423180124,1.44458006044899e-08,4.1286098127632e-06,9.85590818868621
"Gmds",-0.5173275139271,16.6398190854121,-7.14889392260094,2.33967121273994e-08,6.07889120546432e-06,9.17901964203964
"Hspa4",-0.410419842374296,16.1333441055604,-7.08025650281703,2.86993687772393e-08,6.83523299711249e-06,8.98239940507574
"Glra1",0.767156202647593,13.8202343709489,10.3960187189855,4.70488590679042e-08,1.02683067941961e-05,8.80076138365623
"Ndufa4",0.70396390223285,16.3633583356781,8.28510314350874,6.03129170424017e-08,1.14916211271456e-05,8.48837186983686
"Arpc1b",-0.565530740172422,15.6231425333648,-6.89241734642603,5.02996134075388e-08,1.02683067941961e-05,8.44212731697976
"Prph",-0.425966230028251,21.6495059282565,-6.78925214233849,6.85384249514064e-08,1.2242676156945e-05,8.14412488903292
"Pygb",-0.515860761298235,18.3314293321613,-6.68966869412356,9.24631129926824e-08,1.55446809960639e-05,7.85568042529781
"Rpl10a",0.706321185599998,13.7364673246501,7.18673720917423,1.15975961302029e-07,1.84144054111777e-05,7.75451193859511
"Dynll2",1.05328957699997,15.308374748352,9.36781017505366,1.74413113844722e-07,2.46214374707541e-05,7.60159987301496
"Myo5a",0.419051126567153,14.7469158915756,7.76460770731156,1.66443538644939e-07,2.46214374707541e-05,7.51978364718133
"Slc44a2",0.593043458955462,15.0270100546191,7.42916070982596,1.80913291422616e-07,2.46214374707541e-05,7.39853363916896
"Atp5pb",0.568138325297513,14.7021750982132,7.65206928392184,2.08281861548581e-07,2.70577072866293e-05,7.30507418740811
"Slc25a25",0.889509729450303,13.5204837770913,9.39401138399477,3.0637862592212e-07,3.48791693340221e-05,7.06199605742553
"Ghitm",0.55195444251985,14.3542239935162,7.50081243133771,2.82296349459253e-07,3.48791693340221e-05,7.01352993891641
"Tmem33",0.807034322877556,13.5537884233517,8.89690352374954,3.29509297417283e-07,3.48791693340221e-05,7.00992386908273
"Atp5pf",0.625345374875284,14.2358435082101,7.46008702266341,3.0654117374651e-07,3.48791693340221e-05,6.93445223606821
"Sypl1",0.873379298226252,16.3925638539529,8.71903912019518,4.21661665159499e-07,3.88744851298661e-05,6.77907607597284
"Acot7",0.917511928683183,15.3813018659042,6.70431468322909,3.19626936932786e-07,3.48791693340221e-05,6.76187384562737
"Rpn1",0.625056538034146,15.1090871044638,7.35443028665547,3.79994100158387e-07,3.6200771275089e-05,6.72814947325316
"Acin1",0.460487353011667,16.5144368001793,6.67299144645325,3.46594683671008e-07,3.53023911432491e-05,6.68374408397906
"Sucla2",0.541584801267515,14.5688926370882,6.66025430668685,3.58211806562009e-07,3.53023911432491e-05,6.65194192165177
"Fscn1",0.867165859461069,15.1216009688028,8.61416001297429,4.88471977546249e-07,4.10603797596229e-05,6.6410123357323
"Endod1",0.714345985025767,14.264759759967,7.56408387858246,4.84365691189598e-07,4.10603797596229e-05,6.54352504533044
"Slc25a12",0.515394968787332,15.5317349503164,7.19196821491412,5.30266099839941e-07,4.330001466693e-05,6.40771163424466
"Ndufs3",0.599463294673631,14.151851209406,7.16647538265081,5.58910391842831e-07,4.43712749968559e-05,6.35707716460993
"Hsph1",-0.55676620079787,16.493590914645,-6.23062583187741,4.71747370600264e-07,4.10603797596229e-05,6.30670318609634
"Ap2a1",0.460843755561928,16.3885971618415,7.06659231584585,6.87430861197828e-07,5.3099389224416e-05,6.15776909452024
"Mrps31",0.658353744342133,13.8801623538845,7.00803307569477,7.76600815223435e-07,5.84085560502258e-05,6.04024136606665
"Pnpt1",0.593061998353537,15.8355034698663,6.90520349146471,9.63146810018672e-07,7.05813739239324e-05,5.83265794677759
"Mpc1",0.81978137370117,13.6906663635671,7.93089078245387,1.31413675765671e-06,9.11357821499927e-05,5.7051568646604
"Ndufa11",0.879346287870227,14.9980984940266,8.2612242429802,1.33929420934209e-06,9.11357821499927e-05,5.70140197723791
"Psat1",0.604569236202353,13.9866706229105,7.89138175602256,1.39392634130969e-06,9.12004279250437e-05,5.64906337161489
"Padi2",0.778134143556786,13.5231271062823,7.84127087558746,1.5025503180518e-06,9.5428640199823e-05,5.57759958037501
"Stat3",-0.41416371378007,16.0699377331328,-5.866701658322,1.12196935042162e-06,8.01647100876247e-05,5.45036982919359
"Dlat",0.517883149857447,15.445527442256,6.61274711864944,1.40406537043454e-06,9.12004279250437e-05,5.44547292303939
"Rab14",0.429586156962316,14.6548687878865,6.6417491690947,1.68272473453127e-06,0.000102323984921071,5.29388881687836
"Mtatp8",0.641237910434739,16.6239415036804,7.61409080453556,2.11974545421313e-06,0.00012621317725294,5.24911480218073
"Acad9",0.690364882830686,13.3498690531899,7.592687862577,2.19033159066362e-06,0.000127754442573809,5.21778484534487
"Mlc1",0.736444796438084,14.4062350904367,7.87079137930721,2.30211841126486e-06,0.000128960301172683,5.19332435515666
"Ampd3",-0.442300234588014,15.4867249430076,-6.01784805859965,1.67056312031291e-06,0.000102323984921071,5.15044118693678
"Adh5",0.76276060437498,13.7743556808926,6.62383374385653,2.25930810607806e-06,0.000128960301172683,5.0341647473355
"Glrb",0.698967677748966,14.1343596114502,7.46588443373174,2.66265586009597e-06,0.000138361280875532,5.03080308413467
"Ddb1",0.6314876898051,13.6284964486056,6.48605469252862,2.35005856860272e-06,0.000128960301172683,4.97088657520853
"Acsbg1",0.557062268252537,13.9747616328713,6.47016399761572,2.43198760818872e-06,0.000128960301172683,4.93773098833213
"Dnajc11",0.638147836673053,13.861857034972,6.18947992385914,2.43661870655174e-06,0.000128960301172683,4.87007519900395
"Rab8a",1.16635308207771,12.4492479702265,7.60558883519274,3.36089345728458e-06,0.000157466122965891,4.83606747076137
"Vps26b",0.992669273137155,13.4013568121497,8.30236881021562,3.82695383632014e-06,0.000168268216372353,4.72257998969642
"Ywhag",0.487985541423916,15.1207855747918,5.98224744007304,2.87378995263154e-06,0.00014666592293966,4.67356029079418
"Aifm1",0.510460997413034,13.1015839257492,6.34408741427004,3.19550233688041e-06,0.000157466122965891,4.67345335604562
"Ndufb5",0.726495732461931,14.8887369788753,6.32096023598799,3.36036377595649e-06,0.000157466122965891,4.62474157609921
