"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hspa4",-0.445492975465321,16.1333441055604,-7.13996415342511,2.46456054596211e-08,3.42312402501453e-05,9.12032439825127
"Kif3b",-0.447819915226797,15.577731692141,-7.38275389166599,4.7085612448618e-08,3.42312402501453e-05,8.57649352883528
"Map2",0.520441997317484,19.5972089025583,6.78653260782128,2.20683057217084e-07,6.16632461287413e-05,7.10570069294145
"Timm44",0.439984881597049,17.5889153497692,6.42898814279171,2.07215972012062e-07,6.16632461287413e-05,7.08850622814236
"Arhgdia",-0.45017898993607,17.2035940361529,-6.41393065517718,2.16856088732977e-07,6.16632461287413e-05,7.04506646117455
"Tsc22d3",-0.982532712071018,14.4425984748419,-6.90729771405404,2.96865696630804e-07,6.16632461287413e-05,6.84370809050375
"Echdc1",-0.594882011305909,15.4101433085,-6.33898795465848,2.71983574764262e-07,6.16632461287413e-05,6.82866474645032
"Syngr3",-0.555056377813665,16.7696636034254,-6.38150546156311,5.49788594125921e-07,9.99240769823862e-05,6.22127408694325
"Gmds",-0.477353047590142,16.6398190854121,-6.03843678274246,6.76418137604856e-07,0.000109279108008607,5.95802062850888
"Srp54",-0.655277404315139,15.1646675566591,-6.19012418998944,1.07495056030701e-06,0.000156297811468639,5.59317504161582
"Nefh",0.429015217008246,21.0710784282493,5.75970926345366,1.57873829756294e-06,0.000208680498605138,5.14797561278144
"Serpina3k",1.09353392822694,14.0532624144201,5.85037906320755,2.35884844828232e-06,0.000285813803650207,4.82833962167641
"Tanc2",-0.505406472058283,13.8053477129835,-5.86523822141376,2.95892679583159e-06,0.000308175098173417,4.64635303245503
"Phyhipl",-0.446010382870952,16.1013205890999,-5.81371902641173,2.9672980566904e-06,0.000308175098173417,4.62158174895496
"Exoc8",-0.336790357282267,15.249991916812,-5.64399943146217,4.70531547517796e-06,0.000427595543806797,4.18023851322719
"Pdlim1",-0.554993587092005,15.6658266503052,-5.40202098224337,4.68950081637283e-06,0.000427595543806797,4.10789740858941
"Pir",-0.699683503540001,14.5608358679938,-5.52931100769428,7.24423102900648e-06,0.000586842316911751,3.79762763361803
"Uba5",-0.714484268923522,14.6262387834846,-5.53561092361612,8.07210889837346e-06,0.000586842316911751,3.70659153249678
"Zc2hc1a",-0.371075489061262,16.7301414063863,-5.23998392472147,7.67459892285156e-06,0.000586842316911751,3.63765681218371
"Capg",-0.670803489347652,14.3837143247348,-5.22986292977598,7.91418212776809e-06,0.000586842316911751,3.60832140202307
"Vars1",-0.629454533034695,15.5309445423576,-5.22009485058379,1.12799757895065e-05,0.000781004037997261,3.30836667332721
"Itsn2",-0.492979498548348,14.2484895038646,-5.12939149725496,1.24553559520255e-05,0.00082275680171314,3.1936430002529
"Fgf13",-0.687177323761151,13.4909332378578,-5.36699168940022,1.42018842422124e-05,0.00082275680171314,3.18577539119937
"Tusc2",-0.812922090732343,14.3749789498657,-5.26256390851211,1.33309445587524e-05,0.00082275680171314,3.18341919794813
"Sytl2",-0.290154343023099,15.9485360313996,-5.22654852567755,1.47122949412253e-05,0.00082275680171314,3.08907532268278
"Synrg",0.341352086853274,16.679543273402,5.05035296184287,1.36417730129371e-05,0.00082275680171314,3.08896607727995
"Arpp19",-0.566418856428507,15.0722585104959,-5.20306646676087,1.56893861055011e-05,0.000844902496199948,3.02755206474149
"Snx9",-0.371958542548107,15.664507322516,-4.94420947713666,1.88075873569286e-05,0.000976651143463365,2.78290817998911
"Arhgap17",-0.395476226282963,15.6573124787484,-4.92270110366346,2.00702891428072e-05,0.00100628277288419,2.7210022930845
"Umps",-1.14375738927569,13.5172574634865,-5.15374826100877,2.46387459903835e-05,0.00119415788900059,2.678935951887
"Chmp1a",-0.59083324414742,14.7564555779315,-4.97465340671286,2.93380512120643e-05,0.00129300027850198,2.42894483294847
"Ppp1cc",-0.565479288788726,14.0905829924841,-4.82984504731194,2.82542631913183e-05,0.00129300027850198,2.40365320691403
"Serpina1a",0.86888466610047,13.3349607324894,6.70559636647353,4.96925488783772e-05,0.0018526401556195,2.39333973525857
"Map3k3",-0.473166228445415,16.3402214840117,-4.93244533626468,3.02352197173779e-05,0.00129300027850198,2.38837771778183
"Prkce",-0.44381365571147,14.5422567572184,-4.95299071155903,3.11328734635868e-05,0.00129334851474444,2.37218465381668
"Pi4kb",-0.486288556383613,14.2583617343797,-4.80723370431416,3.02219220028867e-05,0.00129300027850198,2.33954342444301
"Snta1",0.751981720470978,13.9096347682143,4.89273961997881,4.39881566437946e-05,0.00172861566919128,2.1085646472504
"Spata2",0.522928281509621,14.8956757396975,4.83598503499768,4.29030968469994e-05,0.00172861566919128,2.06575827325714
"Cacybp",-0.464536982078773,16.6940279094742,-4.78272605017039,4.96430975873153e-05,0.0018526401556195,1.92639723241663
"Ndufaf7",0.472535954400328,13.8025209013785,4.6273838926319,5.15495194512365e-05,0.00187382503205245,1.83148142404987
"Scyl2",0.32553933277757,15.7100336499318,4.56768739038874,5.83273570555633e-05,0.00206848724777534,1.70616396928346
"Eef2",0.352134447134024,15.1564790245778,4.53494830967429,6.43154130139557e-05,0.00222653834576885,1.61336658822894
"Slc5a4a",-0.697529903655028,14.6206485442552,-5.75091849400656,0.000121858320780766,0.00351031269014814,1.50189383591394
"Dlg2",0.382103043056674,16.6711149942074,4.57775094490307,8.69881520763192e-05,0.0029414133283481,1.39116529801092
"Col11a1",1.08927628210539,14.3792050413921,4.75149048190287,0.000106172736467133,0.00335598171354809,1.30299168982399
"Stxbp5l",0.335277688267011,15.5982065047241,4.52677923164671,9.99845075620039e-05,0.00323061053322564,1.25843480190263
"Phb2",0.455807184604907,14.717320073242,4.40089626284741,9.58264157693084e-05,0.00316662746655851,1.23509782786848
