"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nefh",0.657646834926531,21.0710784282493,8.68435659036984,3.55229846627265e-10,2.32320319694231e-07,13.2509008694184
"Palm",-0.434455242305942,18.421354278921,-8.23248350267144,1.24443324611875e-09,4.06929671480832e-07,12.0265722995375
"Asap1",-0.568966740022892,16.7189689404386,-8.08716519145182,1.872258055792e-09,4.08152256162656e-07,11.6273051064289
"Ckap5",-0.444570955822639,15.2814789548779,-7.88219009635757,3.34521520650902e-09,5.46942686264225e-07,11.0597338980399
"Ank2",-0.444165465419875,17.1152522271776,-7.7881494221886,4.37290242912939e-09,5.71975637730125e-07,10.7976640392802
"Col4a2",-3.63840553100035,15.4010136284322,-7.03949043308465,4.49150208024259e-08,4.27229781693258e-06,8.5313082788553
"Ank1",-0.464118493087733,17.577921960076,-6.97785318373783,4.57279582852111e-08,4.27229781693258e-06,8.49989475221886
"S100a6",0.838671493899259,15.836467663234,6.96365242437787,5.58920133485873e-08,4.56917209124701e-06,8.34324039968127
"Pcyt2",-0.570065946682503,15.5786315688784,-6.87123370152986,7.30094223528839e-08,4.8466615470458e-06,8.08302957344869
"Dync1li1",-0.384323853217726,17.4160708728774,-6.67298839881827,1.1236950516062e-07,6.68087785227686e-06,7.61954249950058
"Rgs3",-0.542473118252168,16.3940001250138,-6.34637818034986,2.96686992145611e-07,1.61694410719358e-05,6.66915074205492
"Add2",-0.427166979831103,19.1780734012805,-6.19630777035925,4.64499931980498e-07,2.33679196550189e-05,6.23051398735544
"Brd4",-2.4941124277836,14.6246218730186,-15.1761015218758,7.41079747254709e-08,4.8466615470458e-06,6.22769289653871
"Bag3",-0.380461205311693,18.0712799077684,-6.1250593515639,5.74895964049198e-07,2.6855854320584e-05,6.02193134412671
"Napg",-0.540525804274022,15.9802569865739,-6.099823323176,6.96917873937816e-07,2.92732186205166e-05,5.87155427077783
"Mast1",-0.577990020791043,14.5722118095509,-6.09058691237343,7.16164369920894e-07,2.92732186205166e-05,5.85908441475675
"Zc2hc1a",-0.410095544037159,16.7301414063863,-5.71783152546439,1.9517313185756e-06,7.50842519028495e-05,4.8272244656058
"Nedd4l",-0.470197273097735,14.5747641919709,-5.66073502529589,2.31729904914945e-06,8.41951987857635e-05,4.65957326632314
"Pfkm",-0.953177243755803,14.9714861842896,-5.67114974575006,2.47632942360896e-06,8.52378654231716e-05,4.65184547745362
"Fnbp1",-0.559116662704676,15.3893548911915,-5.5991950237975,2.78844666387679e-06,9.11822059087712e-05,4.47889351193195
"Prune2",-0.459941115065817,17.9382000943908,-5.41919975560383,4.7915263414553e-06,0.00014591540800362,3.95076008979862
