"","NGenes","Direction","PValue","FDR"
"GOBP_POSITIVE_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT",2,"Down",1.75512471595185e-05,0.0505981045585511
"GOBP_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT",2,"Down",1.75512471595185e-05,0.0505981045585511
"GOBP_KERATINIZATION",5,"Down",2.26999123187757e-05,0.0505981045585511
"GOBP_POSITIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS",2,"Down",4.0775897862214e-05,0.0681671072511563
"GOBP_POSITIVE_REGULATION_OF_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",3,"Down",9.2484880930877e-05,0.121279161027768
"GOBP_REGULATION_OF_HAIR_CYCLE",3,"Down",0.000108819345919935,0.121279161027768
"GOBP_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS",13,"Down",0.000138174547016427,0.121431233278181
"GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS",5,"Down",0.00014527439303506,0.121431233278181
"GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION",34,"Up",0.000230968506390938,0.171609600248467
"GOBP_INTRACILIARY_RETROGRADE_TRANSPORT",4,"Down",0.000343215096686471,0.229507935154243
"GOBP_SKELETAL_SYSTEM_MORPHOGENESIS",26,"Down",0.000410070151323078,0.249285372899766
"GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS",96,"Up",0.000610795228104055,0.339343887013134
"GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE",2,"Down",0.000661364600091587,0.339343887013134
"GOBP_REGULATION_OF_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",5,"Down",0.00071045527414145,0.339343887013134
"GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS",9,"Down",0.000879825626919983,0.362857059877845
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS",3,"Down",0.000902837938848284,0.362857059877845
"GOBP_TERMINAL_BUTTON_ORGANIZATION",3,"Down",0.000965022014221924,0.362857059877845
"GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION",77,"Up",0.00097673501985961,0.362857059877845
"GOBP_RESPONSE_TO_DOPAMINE",21,"Down",0.0013100106618959,0.434863996874453
"GOBP_REGULATION_OF_TOLERANCE_INDUCTION",3,"Down",0.00149991367532594,0.434863996874453
"GOBP_TOLERANCE_INDUCTION",3,"Down",0.00149991367532594,0.434863996874453
"GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",22,"Up",0.00169978183283664,0.434863996874453
"GOBP_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS",2,"Down",0.00198393313976279,0.434863996874453
"GOBP_RESPONSE_TO_PEPTIDOGLYCAN",3,"Down",0.00212048018153651,0.434863996874453
"GOBP_CHONDROCYTE_DEVELOPMENT",2,"Down",0.00232119886522723,0.434863996874453
"GOBP_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT",3,"Down",0.00238563992850965,0.434863996874453
"GOBP_INTERMEDIATE_FILAMENT_BUNDLE_ASSEMBLY",3,"Up",0.00241157410379019,0.434863996874453
"GOBP_PHOSPHATIDYLINOSITOL_ACYL_CHAIN_REMODELING",2,"Down",0.00248560071930982,0.434863996874453
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION",45,"Up",0.00263194944791259,0.434863996874453
"GOBP_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",14,"Down",0.00263488397107248,0.434863996874453
"GOBP_NUCLEOSIDE_MONOPHOSPHATE_PHOSPHORYLATION",5,"Down",0.0029412324259718,0.434863996874453
"GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",46,"Up",0.00297791490499871,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION",64,"Up",0.00307889027175046,0.434863996874453
"GOBP_SEMICIRCULAR_CANAL_DEVELOPMENT",1,"Down",0.00320781777962641,0.434863996874453
"GOBP_SEMICIRCULAR_CANAL_MORPHOGENESIS",1,"Down",0.00320781777962641,0.434863996874453
"GOBP_DENDRITIC_CELL_CHEMOTAXIS",2,"Down",0.00322011331737547,0.434863996874453
"GOBP_DENDRITIC_CELL_MIGRATION",2,"Down",0.00322011331737547,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION",2,"Down",0.00322206302835742,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER",2,"Down",0.00322206302835742,0.434863996874453
"GOBP_GLYCOPROTEIN_METABOLIC_PROCESS",43,"Down",0.00324184436487091,0.434863996874453
"GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION",4,"Down",0.00324514066416812,0.434863996874453
"GOBP_ORGANELLE_LOCALIZATION",230,"Up",0.00332256159867721,0.434863996874453
"GOBP_RAL_PROTEIN_SIGNAL_TRANSDUCTION",2,"Down",0.00381150276083381,0.434863996874453
"GOBP_ATRIAL_SEPTUM_MORPHOGENESIS",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_LYMPHANGIOGENESIS",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_LYMPHATIC_ENDOTHELIAL_CELL_DIFFERENTIATION",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_MITRAL_VALVE_DEVELOPMENT",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION",1,"Down",0.00392619597097965,0.434863996874453
