"","NGenes","Direction","PValue","FDR"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",14,"Down",0.000535825229934114,0.838801310577955
"GOBP_HISTONE_UBIQUITINATION",3,"Down",0.00156767267549758,0.838801310577955
"GOBP_RIBOSOME_BIOGENESIS",9,"Down",0.00158286147329293,0.838801310577955
"GOBP_EPIDERMIS_MORPHOGENESIS",2,"Down",0.00168042281663206,0.838801310577955
"GOBP_MOLTING_CYCLE",2,"Down",0.00168042281663206,0.838801310577955
"GOBP_SKIN_EPIDERMIS_DEVELOPMENT",2,"Down",0.00168042281663206,0.838801310577955
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE",8,"Down",0.0018210691563177,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",19,"Down",0.00202757885474194,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE",7,"Down",0.00203032629112698,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE",6,"Down",0.00261260287032266,0.838801310577955
"GOBP_DETOXIFICATION",6,"Down",0.00261260287032266,0.838801310577955
"GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",2,"Down",0.00323723604007037,0.838801310577955
"GOBP_PEPTIDYL_LYSINE_MODIFICATION",11,"Down",0.00361311545476308,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_RADIATION",8,"Down",0.00406117540288214,0.838801310577955
"GOBP_PROTEIN_DEPOLYMERIZATION",28,"Up",0.00477780557403662,0.838801310577955
"GOBP_HISTONE_H2A_MONOUBIQUITINATION",1,"Down",0.00513788450797566,0.838801310577955
"GOBP_HISTONE_H2A_UBIQUITINATION",1,"Down",0.00513788450797566,0.838801310577955
"GOBP_HISTONE_MONOUBIQUITINATION",1,"Down",0.00513788450797566,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",1,"Down",0.00513788450797566,0.838801310577955
"GOBP_UV_DAMAGE_EXCISION_REPAIR",1,"Down",0.00513788450797566,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY",3,"Down",0.00597496254578976,0.838801310577955
"GOBP_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION",4,"Down",0.00653721806287782,0.838801310577955
"GOBP_GOLGI_VESICLE_BUDDING",4,"Down",0.00662064182589752,0.838801310577955
"GOBP_RNA_PROCESSING",15,"Down",0.00764284073268099,0.838801310577955
"GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE",19,"Up",0.00788533946567493,0.838801310577955
"GOBP_HISTONE_MODIFICATION",18,"Down",0.00839175631342996,0.838801310577955
"GOBP_RESPONSE_TO_ACID_CHEMICAL",6,"Down",0.00851045434594999,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS",7,"Down",0.00968749894774703,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_UV",7,"Down",0.00968749894774703,0.838801310577955
"GOBP_RESPONSE_TO_UV",7,"Down",0.00968749894774703,0.838801310577955
"GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT",3,"Down",0.00972306381305169,0.838801310577955
"GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",3,"Down",0.00973305288990003,0.838801310577955
"GOBP_CELLULAR_OXIDANT_DETOXIFICATION",5,"Down",0.00993912390895355,0.838801310577955
"GOBP_DNA_STRAND_ELONGATION",3,"Down",0.0105565515752222,0.838801310577955
"GOBP_NCRNA_PROCESSING",9,"Down",0.0113294920847534,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",5,"Down",0.0153680019648998,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",5,"Down",0.0153680019648998,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_JNK_CASCADE",3,"Down",0.0156658861602056,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE",3,"Down",0.0156658861602056,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION",5,"Down",0.016638567464655,0.838801310577955
