"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Anxa5",-5.08339651638287,17.6657978840119,-78.245103045375,1.72750767704026e-59,6.91866824654626e-56,125.10526606945
"Tkt",-4.17505689445677,17.9590099707326,-75.5536620786631,1.23550461012277e-58,2.47409798177085e-55,123.238530851119
"Washc2",3.78732142096033,16.1167059507026,73.3739172077079,6.39727304157953e-58,8.54035951050867e-55,121.6717601779
"Gsn",-5.03785011706899,16.7103708329985,-71.8538649021999,2.07213618041254e-57,2.07472635063806e-54,120.548491268106
"Eif4b",4.30833924228571,18.389166649254,65.6697166019974,3.22124777047577e-55,2.58021946415109e-52,115.695344513786
"Hspa8",-4.10579409169659,18.5594463770733,-62.3190276156997,6.04099825783296e-54,4.0323663371035e-51,112.855788749609
"Spag9",4.04466946283259,16.5360051229307,61.6365452061697,1.11830673671312e-53,6.3983121150515e-51,112.257512148446
"Eps15l1",3.29857417305734,17.4500139931861,61.3705838956313,1.42418300710391e-53,7.12981617931396e-51,112.02246357845
"Pdia3",-7.45179275790541,16.4874341963612,-75.8862191323601,4.37643209168814e-53,1.94751228080122e-50,110.582802580076
"Hspd1",-5.73869605026844,16.1164877706615,-59.359756453323,9.16343840815965e-53,3.66995708246794e-50,110.209788669468
"Synrg",4.72054718491384,15.7564453107166,58.6887881855908,1.72882641732264e-52,6.29449981943378e-50,109.590533794722
"Atp1b1",-8.00214490568153,17.2992805881891,-60.0706238121666,2.34538206025105e-52,7.82771262608789e-50,109.270585612603
"Fam114a2",3.71292586610151,16.2168521661541,57.8671924084783,3.7977067077136e-52,1.169985797261e-49,108.822081966009
"Eno1",-4.73637071841902,17.8700150133937,-57.6622497964017,4.62919639865368e-52,1.32428082690057e-49,108.62861819207
"Kif5b",-3.78097955976305,15.8746394990212,-57.3933310022614,6.0087004534778e-52,1.60432302107857e-49,108.373669969192
"Igbp1",3.17683560188842,16.7039266143874,56.7057297132708,1.17696583407224e-51,2.94609260341208e-49,107.716085906818
"Vcl",-3.87011557453617,16.4838561585564,-55.8780440251867,2.67179176204429e-51,6.29442706293374e-49,106.913444193238
"Hsp90ab1",-4.81701362434899,18.1990765193278,-55.3491409591658,4.53932750397001e-51,1.01000036963333e-48,106.394058546996
"Ubap2",5.78762017483225,15.5723054672068,66.4144447783518,5.36350076612611e-51,1.13056950359658e-48,106.064858731402
"Gnao1",-4.76357868204008,16.6102583644612,-54.7220651654095,8.56388997578088e-51,1.71491896765012e-48,105.771569752112
"Strn",3.56642918067729,17.0451811329193,54.4730488190119,1.10405507343175e-50,2.10559074718769e-48,105.522327801993
"Atxn2l",4.46694497159343,16.5260723622464,53.5258406235337,2.93162461303274e-50,5.33688935236187e-48,104.563409717865
"Map6",3.8721989009258,20.1870607780437,53.3533633671795,3.50842721436655e-50,6.10923956240785e-48,104.3869218488
"Alb",-7.04781814127982,18.8627060476768,-52.9876984509648,5.14389619635075e-50,8.58387677766031e-48,104.010807623898
"Hsp90aa1",-4.50944101921966,17.1813403763435,-52.7558246373202,6.56510044462755e-50,1.05172909122933e-47,103.770925050742
"Ubap2l",4.00317339666968,15.735185518808,51.6243633460452,2.19147613689855e-49,3.32643745022242e-47,102.584678693308
"Clint1",3.55932489155673,16.9851580464962,51.5692107113748,2.32559921613552e-49,3.32643745022242e-47,102.526178183363
"Rap1gds1",-5.59162959100053,15.743227719856,-66.0856109689025,2.31857745090472e-49,3.32643745022242e-47,102.348003243646
"Msn",-5.51837050958674,16.0437911220149,-50.4131884429617,8.19312155560274e-49,1.13149833897203e-46,101.285085277721
"Pfn1",-5.0675159885899,16.584443492873,-49.7384630234054,1.73076386915964e-48,2.25888742410534e-46,100.547264491131
"Mdh2",-5.46042141844975,17.6325055145958,-49.7293489961988,1.74845218844608e-48,2.25888742410534e-46,100.537228847027
