"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hspa8",-4.33570511371015,18.5594463770733,-71.0815082473677,3.80044280586316e-57,1.18003749122051e-53,120.082996532121
"Anxa5",-4.15042636083772,17.6657978840119,-69.0032088951105,2.0081429198804e-56,3.11764188311432e-53,118.476149089457
"Uba1",-4.01302016670658,16.8293861042058,-66.6555333688563,1.39797013373734e-55,1.44689908841815e-52,116.597261161031
"Cast",4.49884126532431,17.5619033215422,64.2745192731605,1.07217300267456e-54,8.3227429332613e-52,114.61815360773
"Tkt",-3.27336992792579,17.9590099707326,-63.9825587911713,1.38339150111275e-54,8.5908612219102e-52,114.370133413031
"Eps15l1",3.02080070316403,17.4500139931861,60.7056997525579,2.6182750743111e-53,1.274090722788e-50,111.501649715179
"Synm",5.01313007375342,19.0361452582568,60.6051883971528,2.8723462349488e-53,1.274090722788e-50,111.411112191779
"Map4",3.53155131273187,20.6053617559871,59.9505508851982,5.26982495873067e-53,1.77375045537978e-50,110.817565376873
"Hspd1",-5.36575270829518,16.1164877706615,-59.949137017005,5.27677325724097e-53,1.77375045537978e-50,110.816276133737
"Tnks1bp1",2.82802987232181,16.5293848442355,59.5907194004456,7.3766046349252e-53,2.08221430831298e-50,110.48842316043
"Llgl1",-6.90075487898383,15.0234095279649,-78.4930277888851,5.71256185307498e-53,1.77375045537978e-50,110.388422189668
"Tln2",-3.59949439799627,16.7570262910056,-58.5219571888526,2.02662786975573e-52,5.24389961299294e-50,109.49846199916
"Eef1a1",-5.13464351776278,18.2301274553209,-54.9999296984487,6.45863252799285e-51,1.43243242852984e-48,106.098242498285
"Gdi1",-4.55920736975326,16.7585392210654,-59.9852904591288,6.43369837396017e-51,1.43243242852984e-48,106.065504748908
"Hsp90aa1",-4.34275769827164,17.1813403763435,-54.8765371692837,7.31946655616649e-51,1.51512957712646e-48,105.975082488969
"Gnao1",-4.40184184225845,16.6102583644612,-54.6181473861055,9.52028611414089e-51,1.84753052402547e-48,105.716256262968
"Hsp90ab1",-4.38963221810812,18.1990765193278,-54.4796789663941,1.09659724122886e-50,1.90451195410738e-48,105.57703660497
"Gsn",-3.53592730911932,16.7103708329985,-54.4730401122785,1.10406490093181e-50,1.90451195410738e-48,105.570352622256
"Pdia3",-6.08616566651552,16.4874341963612,-66.9451797414232,2.10441977192516e-50,3.43906494306717e-48,104.798642659575
"Dync1h1",-2.98515711551395,16.6106861290884,-53.4079424471058,3.31438140356331e-50,5.14557712903204e-48,104.487070696855
"Actn4",-4.83288878198077,15.5532907527111,-54.7037443207035,3.96679425240757e-50,5.86518864463119e-48,104.305150244923
"Eno1",-4.0307933427849,17.8700150133937,-53.0041437420744,5.05585772339959e-50,7.13565374143442e-48,104.07059516909
"Cct5",-3.37771556819654,16.0761158593869,-52.7425069343023,6.65794432738539e-50,8.61371547355485e-48,103.799013295544
"Plekha2",6.64240923283002,15.9445487852749,67.9515059877412,6.05476086109784e-50,8.17392716248208e-48,103.736186284531
"Glud1",-5.42005487797872,16.698352030379,-51.7826893091372,1.84852354809759e-49,2.29586624673721e-47,102.790832488176
"Prdx6",-3.80550632752912,17.8958184221697,-51.0161479240016,4.23357653550922e-49,5.05586736259851e-47,101.971941829472
"Scfd1",-3.71140360654403,15.7899811833552,-50.7393460335491,5.72713544835824e-49,6.58620576561197e-47,101.673169551927
"Ncl",-3.89290981634791,16.7685969909245,-49.8628140531034,1.5068299768125e-48,1.67096681357243e-46,100.716080685918
"Snx6",-4.73774249394485,16.0941907307718,-53.636784057166,2.3816589929498e-48,2.5500176458997e-46,100.261977091969
"Mdh1",-4.75622941962769,17.8171190754403,-49.4105800621347,2.49800195759032e-48,2.5628966726885e-46,100.215627205355
"Rap1gds1",-4.92517818036557,15.743227719856,-62.8729526935935,2.55876962490639e-48,2.5628966726885e-46,100.114942068128
"Akap12",3.53679611801871,18.8387197016454,49.278654355909,2.89731310930262e-48,2.8112991263702e-46,100.068765838729
"Pfn1",-4.61320316342145,16.584443492873,-48.9072461357287,4.40753109483746e-48,4.14708607559706e-46,99.6531764893859
"Ndrg1",-5.3073633826435,16.6400935489753,-61.9998452219303,5.01690624016481e-48,4.58161584579757e-46,99.4607460898897
"Atxn10",-5.15972576304712,16.4602994088959,-61.8675968794301,5.56001707253488e-48,4.93252943149166e-46,99.3607979364007
"Nsf",-2.64179721343321,17.642785138238,-47.963105531577,1.29828233369585e-47,1.11976851281267e-45,98.5822961035143
"Dstn",-5.25716547620671,15.6696472109535,-51.8855257800057,1.37137105910964e-47,1.15083976717174e-45,98.5357350558152
"Cfl1",-4.01912131615907,17.37616638138,-47.4292416210003,2.41309032458971e-47,1.97174880469765e-45,97.9673865728708
"Tagln2",4.54693924019294,19.8667264747473,47.2650344749208,2.92385839430027e-47,2.32784110623137e-45,97.77686002356
"Eif4b",2.85537505965883,18.389166649254,47.0101683068936,3.943866566785e-47,3.06142642246686e-45,97.4798313976983
"Ywhaz",-5.22178988926644,17.8417856423434,-46.92665686655,4.35164663703789e-47,3.29557629463479e-45,97.3821553025937
"Bag3",4.44257587003838,17.5307038523013,46.8186132676473,4.94362043778236e-47,3.65474796650338e-45,97.2555287204022
"Prdx1",-3.80025188824739,17.9944585738293,-46.3880797379292,8.24105781004778e-47,5.95081034888334e-45,96.7480390386985
"Ap2b1",-3.80267609223259,15.781493371038,-48.5625274801741,1.08242077713342e-46,7.63844662045285e-45,96.4904339571219
"Hnrnpa2b1",-3.67381735303573,18.5662670316443,-45.8438679750331,1.58247442998536e-46,1.0919073566899e-44,96.0998085280706
"Dnm1",-3.40940884007108,16.4754936812221,-45.5618011996878,2.22565432735696e-46,1.49978516059738e-44,95.7608170134075
"Eef2",-3.95438680101058,16.6874925519034,-45.5454604482034,2.27020620122632e-46,1.49978516059738e-44,95.7411147819817
"Soga3",-2.75088069418263,16.5960993994402,-47.8702134677984,2.33352947320959e-46,1.50950187798245e-44,95.7289953269296
"Avil",3.37068897560021,19.3741146288595,45.3719619786216,2.80309368082288e-46,1.77624609774592e-44,95.5314927131787
"Tufm",-5.54493824142031,16.0443675259673,-58.9676812991581,2.95251899138754e-46,1.83351429365166e-44,95.4676996534445
"Hk1",-3.78850282556412,17.0238409864516,-45.3032641203194,3.0478106260621e-46,1.85557882233781e-44,95.4482720095584
"Nsfl1c",-3.38975058053046,15.8874991148446,-45.1472940456398,3.68732336211147e-46,2.18483099497438e-44,95.2588649383049
"Napa",-4.19384852712114,15.652226393782,-56.6857423357267,3.72934115084194e-46,2.18483099497438e-44,95.25518115578
"Mdh2",-4.56263853343785,17.6325055145958,-44.8823999265813,5.10302183532795e-46,2.93423755531357e-44,94.935694661315
"Tubb5",-5.77436243751312,17.3952850970154,-44.8428676796931,5.3574098690082e-46,3.02450138968554e-44,94.8873037951774
"Fasn",-4.04350161613048,16.0416024563311,-44.7157040272407,6.26664908273004e-46,3.474633107478e-44,94.7313582676512
"Pls3",-2.64900210470145,16.1566733003388,-44.512922899781,8.05340351423327e-46,4.38698559854286e-44,94.4817721017995
"Numbl",3.11182572477797,16.7222878533907,44.4741568438609,8.45006249490657e-46,4.52369724942843e-44,94.4339305146419
"Trim28",-4.70419006603434,16.4707031456221,-57.6122616644765,8.82553594102835e-46,4.64462527065983e-44,94.3977991479233
"Hspa4l",-3.1719931814061,16.4380318550141,-55.3771121080215,1.14440791066422e-45,5.92231093768735e-44,94.1557237568926
"Ppa2",-5.06982522522408,15.5633937028841,-61.2133065054854,1.56620694290163e-45,7.97225009460586e-44,93.7964435856127
"Syne1",-3.96733031199588,16.1779489004005,-79.5477483999443,1.97636277509885e-45,9.89775228497088e-44,93.2026974867842
"Ywhaq",-5.67265429476591,16.3507097752355,-58.1567297378072,2.98007288022564e-45,1.46875020525407e-43,93.1917996077121
"Capg",-4.95353637916532,16.4238802768028,-43.4274472788615,3.14227159423662e-45,1.52449270314136e-43,93.1264056666517
"Eno2",-5.52632383333384,17.1722150266173,-53.9654674282515,3.94938068647317e-45,1.8865887740768e-43,92.9389030298952
"Gdi2",-4.2655613461025,15.9422396638955,-43.1162531683964,4.67008334199446e-45,2.19706193589285e-43,92.7316916639393
"Stbd1",3.97621878356155,16.4862102041387,45.1825316064104,5.1084173225499e-45,2.34330161602078e-43,92.6646758136613
"Dmtn",2.74933920066862,17.9843503551066,42.9987831657904,5.42733089231364e-45,2.44229890154114e-43,92.5819676437775
"Rtn4",2.56587407224473,19.9383738951547,42.8160032933735,6.86224264743158e-45,3.04389477432501e-43,92.3482026471762
"Atp6v1e1",-5.51628811113413,16.666204149837,-81.8653651649486,5.13186827341105e-45,2.34330161602078e-43,92.1957331309124
"Myl6",-4.04831103550929,15.8083246967289,-43.5830625758966,9.44255162032243e-45,4.12945391283115e-43,92.0424459954754
"Septin7",-2.6182315161642,16.9991283290654,-42.488740332248,1.04690172493137e-44,4.51476368876652e-43,91.9272011699779
"Cndp2",-3.68179326076931,16.10227599322,-42.450667327394,1.09984906351332e-44,4.67812512631352e-43,91.8780170503915
"Rpl11",-5.68178371976221,15.8895442386198,-63.027064390815,1.42836307440373e-44,5.99333425138323e-43,91.5701159643114
"Uchl1",-5.28330960383638,18.4030559564763,-47.7706451606228,1.79848945677936e-44,7.44574635106654e-43,91.4397916320936
"Cntn1",-5.19596868920298,15.4899212217087,-52.2025788293837,1.9399010330976e-44,7.92551672074742e-43,91.3720744103
"Kcnab2",-4.12292854212195,15.7991703580531,-52.0825306868801,2.16605147802883e-44,8.73453225880457e-43,91.2633959564947
"Tubb3",-4.59050619548167,18.3309726593817,-43.9383727875404,2.26231319473703e-44,9.00574675597241e-43,91.1842382093713
"Mkrn2",-4.65425517601145,14.5224677906162,-53.6872140832796,2.43652623920313e-44,9.57647338319713e-43,91.1436448435553
"Rint1",3.44183314443006,15.6358829041691,41.7429365363436,2.77306674037624e-44,1.07629652860853e-42,90.9558164458738
"Trpv1",4.19457514976357,16.0802323336461,43.7146627671814,2.96887060924346e-44,1.13806706687666e-42,90.9136519464121
"Cct2",-4.28344540232668,16.2448508335696,-51.5950709507219,3.39801717069027e-44,1.27118594156546e-42,90.8194346387609
"Igbp1",2.15811600977821,16.7039266143874,41.6083394394875,3.31180642147372e-44,1.25404377300926e-42,90.77870714826
"Atp6v1h",-3.17068201604727,16.2004812340453,-43.5216693957921,3.75735452101933e-44,1.38887926044822e-42,90.6791188061497
"Hprt1",-5.26034143268226,15.528846962215,-42.4164753143353,4.10155569093233e-44,1.4982741670994e-42,90.579048162395
"Pdha1",-5.02269136503451,16.7853650447982,-45.5639339374418,4.9672060205895e-44,1.75263348794664e-42,90.4234201788277
"Alb",-5.09059920741953,18.8627060476768,-41.3392570552745,4.73057251266655e-44,1.68832501745168e-42,90.422957718574
