"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Anxa5",-6.35026107176638,17.6657978840119,-102.224217126061,4.97352566845858e-66,8.95234620322545e-63,139.353846980411
"Gsn",-6.51251330647391,16.7103708329985,-97.1432317131591,8.82792863297379e-65,7.94513576967641e-62,136.711802966904
"Tkt",-4.94210053566855,17.9590099707326,-93.5327557658006,7.47153450817075e-64,4.48292070490245e-61,134.733755625676
"Hspa8",-5.21164192367596,18.5594463770733,-82.7288723914232,7.51861093005801e-61,3.3833749185261e-58,128.245471844906
"Vcl",-5.30652536941999,16.4838561585564,-80.1284125133148,4.53457354985561e-60,1.4990301283708e-57,126.540141848082
"Plec",-4.41982356976277,17.7021251094886,-79.990261686632,4.99676709456932e-60,1.4990301283708e-57,126.447825434489
"Uba1",-4.61658981439249,16.8293861042058,-74.2457832189618,3.29519996711072e-58,8.473371343999e-56,122.444956390957
"Lmna",-7.03186757678585,17.0610392791593,-72.4346856913376,1.31869877472425e-57,2.96707224312957e-55,121.112149573636
"Gnao1",-5.87447289661941,16.6102583644612,-70.5760053452762,5.67229290609168e-57,1.13445858121834e-54,119.706172218548
"Gdi1",-5.99893960780348,16.7585392210654,-76.4214983162979,1.66680897382312e-56,3.00025615288162e-54,118.508330614791
"Pls3",-4.17054686396188,16.1566733003388,-67.8550935033431,5.14466344936188e-56,8.41854018986489e-54,117.574276621113
"Mdh1",-6.72513754890253,17.8171190754403,-67.6462874983066,6.11485701844054e-56,9.17228552766081e-54,117.406897631871
"Hspd1",-6.16424877317738,16.1164877706615,-66.6834526162911,1.36554842648608e-55,1.83106389081631e-53,116.627878348599
"Septin7",-4.24073266862654,16.9991283290654,-66.6334567085263,1.42416080396824e-55,1.83106389081631e-53,116.587099884277
"Fasn",-6.09591932872503,16.0416024563311,-65.2720572648336,4.52651163128018e-55,5.43181395753622e-53,115.463995784536
"Dync1h1",-3.75780057719348,16.6106861290884,-65.0965571467579,5.26314136163494e-55,5.9210340318393e-53,115.317405521488
"Capg",-7.65936044806481,16.4238802768028,-65.0170246133942,5.63606905721998e-55,5.9676025311741e-53,115.250836121117
"Tubb5",-8.51098048228337,17.3952850970154,-63.9962565710419,1.36691462061636e-54,1.28848370816974e-52,114.38870198626
"Hsp90ab1",-5.32112570561889,18.1990765193278,-63.9433760140277,1.43164856463304e-54,1.28848370816974e-52,114.343643669287
"Rap1gds1",-6.8709681710431,15.743227719856,-84.9269416364443,1.26247688054588e-54,1.26247688054588e-52,113.987792951262
"Ywhaz",-7.25801584386563,17.8417856423434,-63.1544231343564,2.86800757464073e-54,2.34655165197878e-52,113.666681591419
"Ndrg1",-7.42539651322793,16.6400935489753,-83.9879671141473,2.16260412826325e-54,1.8536606813685e-52,113.484020700589
