"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tkt",-5.95496444724154,17.9590099707326,-87.2985343623537,3.64341698474192e-62,4.72551182921027e-59,129.932350137526
"Myo18a",-7.2106362031044,16.1090530006325,-79.0613217511673,6.27313217280561e-59,4.06812621406444e-56,122.959667528115
"Anxa5",-5.97078246519006,17.6657978840119,-74.4507516625859,2.8224753708528e-58,1.22025018533203e-55,121.784518401534
"Cct5",-5.8398830645081,16.0761158593869,-68.391654094291,3.3081552523098e-56,1.07266934056145e-53,117.348565006661
"Hspa8",-5.47289196554027,18.5594463770733,-67.2937974071434,8.1951954289265e-56,2.12583369426353e-53,116.496951668209
"Gsn",-5.62036432574066,16.7103708329985,-64.9387638510187,6.02929806079423e-55,1.27843339047649e-52,114.616267428544
"Pls3",-5.14035310603551,16.1566733003388,-64.7825480434253,6.89979470573277e-55,1.27843339047649e-52,114.488829855046
"Eno1",-6.52726952735644,17.8700150133937,-64.374237808027,9.83047107506414e-55,1.59376512304477e-52,114.154116863361
"Uba1",-4.86054402126011,16.8293861042058,-60.5495625628363,3.0236000455151e-53,4.35734362114788e-51,110.899961237947
"Cs",-7.22687700344881,17.9681816957442,-57.9201876803416,3.60856931352359e-52,4.68031439964009e-50,108.529439979104
"Myl6",-7.35519289509918,15.8083246967289,-59.3880687637006,4.39185352033059e-52,5.17839455988071e-50,108.290973530567
"Dync1h1",-4.20291418491142,16.6106861290884,-56.3962775354356,1.59693591621958e-51,1.72602156944733e-49,107.101630737573
"Rab7a",-5.02872302729039,16.8221619468424,-55.7706704769416,2.97415183852224e-51,2.96728841120258e-49,106.503430695024
"Nedd4",-4.96153847793916,15.5512324299876,-54.7554478685042,8.27786981936992e-51,7.44917650625197e-49,105.51724569806
"Hsp90ab1",-5.87825386716013,18.1990765193278,-54.7162098645938,8.61508462558054e-51,7.44917650625197e-49,105.478739451828
"Copb2",-4.93607526418992,16.2457216779351,-54.5554647509644,1.01490408118215e-50,8.22706620808282e-49,105.320684602315
"Ube2o",-4.63234137441511,16.330776707278,-52.999804301087,5.07893860617171e-50,3.65965742900262e-48,103.765011319874
"Mdh1",-6.7771703085262,17.8171190754403,-52.8039997517144,6.24010844016206e-50,4.25969507731063e-48,103.565786889776
"Cbl",-5.76273801149701,15.2934267634901,-59.6481058056063,4.40409958565974e-50,3.36006891917687e-48,103.475769638394
"Stk24",-4.23255965278188,15.9286084061889,-52.6360135561562,7.45009173367266e-50,4.80845773837682e-48,103.394244212777
"Actr2",-5.47073436311018,16.3668621798185,-52.5943561286647,7.78547513538268e-50,4.80845773837682e-48,103.351615477124
"Mapt",3.78415339226847,19.5269584438949,52.2679574499962,1.1005989365281e-49,6.48853100307701e-48,103.016369391406
"Cfl1",-5.83974270176679,17.37616638138,-51.6856569792347,2.05162086130752e-49,1.15693576396341e-47,102.412776843427
"Avil",5.07766651031962,19.3741146288595,51.2618548123351,3.24182512711203e-49,1.75193632911013e-47,101.968970454774
"Pfn1",-6.22829084712444,16.584443492873,-49.5222965488211,2.2038602627764e-48,1.1433627043284e-46,100.106207808425
"NARS1",-3.74771189886928,16.6130437547067,-49.2480969216649,2.99872234661217e-48,1.49590110905999e-46,99.8063808499856
"Actn4",-5.92563244855671,15.5532907527111,-50.3044292493716,3.87445209424261e-48,1.86117198749358e-46,99.5356716817697
"Prdx1",-5.31051527652618,17.9944585738293,-48.6174232671583,6.12762457216e-48,2.8384032393184e-46,99.1101403269556
"Hspa12a",-4.73719511000376,16.9115908996521,-48.5569517442131,6.56525922674351e-48,2.93625559209873e-46,99.0428912155635
