Protein.Ids,Gene_Symbol,First.Protein.Description,log2FC,log2.protein.intensity,P_value,Adjusted_P_value,Condition
A2A432,Cul4b,Cullin-4B,0.1538964898,18.51078863,0.4873244578,0.6074083202,Not_sig
A2A5R2,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,-0.3263208502,19.52710104,0.01905089889,0.05697032076,Not_sig
A2A6T1,Cdr2l,Cerebellar degeneration-related protein 2-like,-1.078127257,18.0759629,0.155363588,0.2642472754,Not_sig
A2A863,Itgb4,Integrin beta-4,0.189643525,24.80195364,0.05905589707,0.1298618461,Not_sig
A2A8L5,Ptprf,Receptor-type tyrosine-protein phosphatase F,0.1462839603,18.26435799,0.7515583438,0.8282302901,Not_sig
A2A8U2,Tmem201,Transmembrane protein 201,0.4037258786,18.08629318,0.7108173288,0.7975837633,Not_sig
A2A8Z1,Osbpl9,Oxysterol-binding protein-related protein 9,0.05614992466,20.32367183,0.7900975325,0.8568726501,Not_sig
A2AAJ9,Obscn,Obscurin,1.882175885,21.72228281,0.00861708544,0.03211670051,Up
A2AAY5,Sh3pxd2b,SH3 and PX domain-containing protein 2B,-0.3758986776,19.35449262,0.139812532,0.2443524325,Not_sig
A2ABU4,Myom3,Myomesin-3,1.695187119,19.45960771,0.03143879019,0.08178362835,Not_sig
A2ADY9,Ddi2,Protein DDI1 homolog 2,-0.7178006567,20.38032282,0.03845743648,0.09500079915,Not_sig
A2AF47,Dock11,Dedicator of cytokinesis protein 11,0.150440429,19.7783746,0.270430654,0.3939530746,Not_sig
A2AG50,Map7d2,MAP7 domain-containing protein 2,-1.645153579,21.13943004,0.03693989886,0.09226529932,Not_sig
A2AGT5,Ckap5,Cytoskeleton-associated protein 5,-0.1286269469,21.66762499,0.21188683,0.329640048,Not_sig
A2AJI0,Map7d1,MAP7 domain-containing protein 1,-0.01457817107,20.9464118,0.9044754541,0.9380835737,Not_sig
A2ALS5,Rap1gap,Rap1 GTPase-activating protein 1,-0.03133048203,20.15633529,0.8260293156,0.8828217168,Not_sig
A2ALU4,Shroom2,Protein Shroom2,-0.2628685883,19.50290169,0.2883603515,0.4131472402,Not_sig
